0,1,2,3
4,ОТНОШЕНИЕ СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЫ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ К СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЕ УЧИТЕЛЕЙ В НОВОСИБИРСКОЙ ОБЛАСТИ,"['отношение_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'учитель_NOUN', 'область_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 281: 0.07692, 282: 0.07692, 47: 0.69231, 28: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 0.84615, 39: 0.76923, 40: 0.76923, 41: 0.76923, 42: 0.76923, 43: 0.76923, 44: 0.76923, 45: 0.76923, 46: 0.76923, 559: 0.15385, 48: 0.61538, 49: 0.61538, 50: 0.61538, 51: 0.15385, 52: 0.15385, 53: 0.15385, 54: 0.15385, 55: 0.15385, 56: 0.15385, 57: 0.15385, 58: 0.07692, 59: 0.07692, 60: 0.07692, 64: 0.07692, 907: 0.15385, 68: 0.07692, 69: 0.07692, 525: 0.15385, 526: 0.07692, 527: 0.07692, 866: 0.07692, 529: 0.07692, 657: 0.07692, 635: 0.07692, 636: 0.07692, 491: 0.15385, 534: 0.07692, 906: 0.15385, 535: 0.07692, 536: 0.07692, 671: 0.07692, 672: 0.07692, 673: 0.07692, 674: 0.07692, 540: 0.07692, 561: 0.15385, 489: 0.15385, 490: 0.15385, 551: 0.30769}"
13,СОЗДАНИЕ УСЛОВИЙ ДЛЯ БЕСПРЕПЯТСТВЕННОГО ДОСТУПА В ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ С ОФЗ ДЕТЕЙ ИНВАЛИДОВ,"['создание_NOUN', 'условие_NOUN', 'беспрепятственный_ADJ', 'доступ_NOUN', 'образование_NOUN', 'учреждение_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'ребенок_NOUN', 'инвалид_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 0.83333, 17: 0.83333, 18: 0.83333, 19: 0.83333, 20: 0.83333, 21: 0.83333, 22: 0.83333, 23: 0.83333, 24: 0.66667, 28: 0.66667, 30: 0.66667, 31: 0.66667, 32: 0.66667, 33: 0.66667, 34: 0.66667, 35: 0.66667, 36: 0.66667, 37: 0.66667, 38: 0.66667, 39: 0.66667, 40: 0.66667, 41: 0.66667, 42: 0.66667, 43: 0.66667, 44: 0.66667, 45: 0.66667, 46: 0.66667, 47: 0.66667, 48: 0.5, 49: 0.5, 50: 0.5, 51: 0.5, 52: 0.5, 53: 0.5, 54: 0.5, 55: 0.5, 56: 0.5, 57: 0.5, 58: 0.16667, 59: 0.16667, 266: 0.16667, 1089: 0.16667, 72: 0.16667, 74: 0.16667, 79: 0.16667, 80: 0.16667, 81: 0.16667, 82: 0.16667, 83: 0.16667, 84: 0.16667, 85: 0.16667, 86: 0.16667, 87: 0.16667, 88: 0.16667, 89: 0.16667, 90: 0.16667, 94: 0.16667, 95: 0.16667, 96: 0.16667, 100: 0.16667, 102: 0.16667, 618: 0.16667, 1047: 0.16667, 278: 0.16667}"
42,ДОЛЯ ДЕТЕЙ ОХВАЧЕННЫХ ДОПОЛНИТЕЛЬНЫМИ ОБРАЗОВАТЕЛЬНЫМИ ПРОГРАММАМИ В ОБЩЕЙ,"['доля_NOUN', 'ребенок_NOUN', 'охватывать_VERB', 'дополнительный_ADJ', 'образование_NOUN', 'программа_NOUN', 'общий_ADJ']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 28: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 0.5, 44: 0.5, 45: 0.5, 46: 0.5, 47: 0.5, 48: 0.5, 49: 0.5, 50: 0.5, 51: 0.5, 52: 0.5, 53: 0.5, 54: 0.5, 55: 0.5, 56: 0.5, 57: 0.5, 79: 0.5, 80: 0.5, 81: 0.5, 82: 0.5, 211: 0.5, 209: 0.5, 803: 0.5}"
58,УВЕЛИЧЕНИЕ КОЛИЧЕСТВА УЧАЩИХСЯ ДЕТСКОЙ ШКОЛЫ ИСКУССТВ ПО ОТНОШЕНИЮ К ГОДУ,"['увеличение_NOUN', 'количество_NOUN', 'учащийся_NOUN', 'детский_ADJ', 'школа_NOUN', 'искусство_NOUN', 'отношение_NOUN', 'год_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 281: 0.14286, 282: 0.14286, 28: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 1.0, 45: 1.0, 46: 1.0, 47: 1.0, 48: 1.0, 49: 1.0, 50: 1.0, 51: 0.57143, 52: 0.57143, 53: 0.57143, 54: 0.57143, 55: 0.57143, 56: 0.57143, 57: 0.42857, 323: 0.14286, 327: 0.14286, 328: 0.14286, 79: 0.28571, 80: 0.14286, 81: 0.14286, 82: 0.14286, 83: 0.14286, 84: 0.14286, 85: 0.14286, 86: 0.14286, 87: 0.14286, 88: 0.14286, 89: 0.14286, 117: 0.14286, 118: 0.14286, 119: 0.14286, 120: 0.14286, 121: 0.14286, 513: 0.14286, 514: 0.14286, 288: 0.14286, 502: 0.14286, 289: 0.14286, 549: 0.14286, 489: 0.42857, 490: 0.28571, 491: 0.28571, 492: 0.28571, 493: 0.28571, 494: 0.28571, 253: 0.14286, 496: 0.28571, 497: 0.14286, 498: 0.14286, 499: 0.14286, 500: 0.14286, 246: 0.14286, 247: 0.14286, 248: 0.14286, 249: 0.14286, 298: 0.14286, 255: 0.14286}"
59,ДОЛЯ ДЕТЕЙ ОХВАЧЕННЫХ ОБРАЗОВАТЕЛЬНЫМИ ПРОГРАММАМИ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ И МОЛОДЕЖИ ЛЕТ,"['доля_NOUN', 'ребенок_NOUN', 'охватывать_VERB', 'образование_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'молодежь_NOUN', 'год_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 28: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 0.66667, 44: 0.66667, 45: 0.66667, 46: 0.66667, 47: 0.66667, 48: 0.66667, 49: 0.66667, 50: 0.66667, 51: 0.33333, 52: 0.33333, 53: 0.33333, 54: 0.33333, 55: 0.33333, 56: 0.33333, 57: 0.33333, 523: 0.33333, 79: 0.33333, 80: 0.33333, 81: 0.33333, 82: 0.33333, 211: 0.33333, 209: 0.33333, 489: 0.33333, 490: 0.33333, 491: 0.33333, 492: 0.33333, 493: 0.33333, 803: 0.33333}"
65,КОЛИЧЕСТВО ПРЕПОДАВАТЕЛЕЙ УЧИТЕЛЕЙ ПЕДАГОГОВ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ КОТОРЫМ ОКАЗАНА ФИНАНСОВАЯ ПОДДЕРЖКА ПО РЕЗУЛЬТАТАМ УЧАСТИЯ УЧЕНИКОВ ВОСПИТАННИКОВ В ОЛИМПИАДАХ НАУЧНО ПРАКТИЧЕСКИХ КОНФЕРЕНЦИЯХ КОНКУРСАХ ФЕСТИВАЛЯХ СМОТРАХ СОРЕВНОВАНИЯХ ТУРНИРАХ И ЧЕМПИОНАТАХ,"['количество_NOUN', 'преподаватель_NOUN', 'учитель_NOUN', 'педагог_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'оказывать_VERB', 'финансовый_ADJ', 'поддержка_NOUN', 'результат_NOUN', 'участие_NOUN', 'ученик_NOUN', 'воспитанник_NOUN', 'олимпиада_NOUN', 'научно_ADV', 'практический_ADJ', 'конференция_NOUN', 'конкурс_NOUN', 'фестиваль_NOUN', 'смотр_NOUN', 'соревнование_NOUN', 'турнир_NOUN', 'чемпионат_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 537: 0.04762, 538: 0.04762, 539: 0.04762, 28: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 0.95238, 38: 0.95238, 39: 0.95238, 40: 0.95238, 41: 0.95238, 42: 0.95238, 299: 0.04762, 44: 0.90476, 45: 0.85714, 46: 0.85714, 47: 0.85714, 48: 0.85714, 49: 0.85714, 50: 0.85714, 51: 0.61905, 52: 0.42857, 53: 0.33333, 54: 0.33333, 55: 0.28571, 56: 0.2381, 57: 0.14286, 929: 0.04762, 323: 0.04762, 327: 0.04762, 328: 0.04762, 79: 0.14286, 80: 0.14286, 81: 0.14286, 82: 0.09524, 83: 0.04762, 84: 0.04762, 85: 0.04762, 43: 0.95238, 527: 0.19048, 528: 0.04762, 300: 0.04762, 529: 0.14286, 378: 0.04762, 383: 0.04762, 534: 0.14286, 135: 0.04762, 136: 0.04762, 535: 0.09524, 86: 0.04762, 142: 0.04762, 143: 0.04762, 145: 0.04762, 147: 0.04762, 706: 0.04762, 452: 0.04762, 525: 0.2381, 415: 0.04762, 417: 0.04762, 304: 0.04762, 526: 0.2381, 446: 0.09524, 447: 0.09524, 448: 0.09524, 288: 0.09524, 450: 0.09524, 451: 0.04762, 308: 0.04762, 289: 0.09524, 200: 0.04762, 201: 0.04762, 202: 0.04762, 203: 0.04762, 460: 0.19048, 461: 0.14286, 462: 0.14286, 463: 0.04762, 464: 0.04762, 466: 0.09524, 467: 0.04762, 468: 0.04762, 470: 0.04762, 215: 0.04762, 216: 0.04762, 217: 0.04762, 218: 0.04762, 762: 0.04762, 536: 0.04762, 489: 0.2381, 490: 0.2381, 491: 0.2381, 752: 0.04762, 707: 0.04762, 760: 0.04762, 708: 0.04762, 298: 0.09524}"
66,ДОЛЯ ДЕТЕЙ ОХВАЧЕННЫХ ОБРАЗОВАТЕЛЬНЫМИ ПРОГРАММАМИ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ И МОЛОДЕЖИ ЛЕТ,"['доля_NOUN', 'ребенок_NOUN', 'охватывать_VERB', 'образование_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'молодежь_NOUN', 'год_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 28: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 0.66667, 44: 0.66667, 45: 0.66667, 46: 0.66667, 47: 0.66667, 48: 0.66667, 49: 0.66667, 50: 0.66667, 51: 0.33333, 52: 0.33333, 53: 0.33333, 54: 0.33333, 55: 0.33333, 56: 0.33333, 57: 0.33333, 523: 0.33333, 79: 0.33333, 80: 0.33333, 81: 0.33333, 82: 0.33333, 211: 0.33333, 209: 0.33333, 489: 0.33333, 490: 0.33333, 491: 0.33333, 492: 0.33333, 493: 0.33333, 803: 0.33333}"
75,ВВОД В ДЕЙСТВИЕ ДЕТСКОЙ ШКОЛЫ ИСКУССТВ,"['ввод_NOUN', 'действие_NOUN', 'детский_ADJ', 'школа_NOUN', 'искусство_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 513: 0.2, 28: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 0.8, 42: 0.8, 43: 0.8, 44: 0.8, 45: 0.8, 46: 0.6, 47: 0.6, 48: 0.6, 49: 0.6, 50: 0.6, 51: 0.2, 52: 0.2, 53: 0.2, 54: 0.2, 55: 0.2, 56: 0.2, 57: 0.2, 829: 0.2, 704: 0.2, 79: 0.2, 514: 0.2, 549: 0.2, 489: 0.4, 490: 0.2, 491: 0.2, 492: 0.2, 493: 0.2, 494: 0.2, 496: 0.2, 246: 0.2, 247: 0.2, 248: 0.2, 249: 0.2, 253: 0.2, 255: 0.2}"
94,ДОЛЯ МОЮ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ МАТЕРИАЛЬНО ТЕХНИЧЕСКАЯ БАЗА КОТОРЫХ ОБНОВЛЕНА В ОБЩЕМ КОЛИЧЕСТВЕ ТАКИХ ОРГАНИЗАЦИЙ,"['доля_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'материально_ADV', 'технический_ADJ', 'база_NOUN', 'который_DET', 'обновление_NOUN', 'общий_ADJ', 'количество_NOUN', 'организация_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 411: 0.16667, 28: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 0.83333, 41: 0.83333, 42: 0.83333, 43: 0.83333, 44: 0.83333, 45: 0.83333, 46: 0.83333, 47: 0.83333, 48: 0.83333, 49: 0.83333, 50: 0.83333, 51: 0.83333, 52: 0.83333, 53: 0.83333, 54: 0.83333, 55: 0.66667, 56: 0.66667, 57: 0.33333, 58: 0.16667, 59: 0.16667, 60: 0.16667, 64: 0.16667, 288: 0.16667, 139: 0.16667, 68: 0.16667, 69: 0.16667, 289: 0.16667, 328: 0.16667, 841: 0.16667, 842: 0.16667, 79: 0.16667, 80: 0.16667, 81: 0.16667, 82: 0.16667, 83: 0.16667, 84: 0.16667, 85: 0.16667, 86: 0.16667, 335: 0.16667, 135: 0.16667, 327: 0.16667, 337: 0.16667, 323: 0.16667, 141: 0.16667, 137: 0.16667, 136: 0.16667, 298: 0.16667}"
114,ОТНОШЕНИЕ СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЫ ПЕДАГОГОВ МУНИЦИПАЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ К СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЕ В ОБЛАСТИ,"['отношение_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'педагог_NOUN', 'муниципальный_ADJ', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'область_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 281: 0.09091, 282: 0.09091, 559: 0.18182, 28: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 0.81818, 39: 0.72727, 40: 0.72727, 41: 0.72727, 42: 0.72727, 43: 0.72727, 44: 0.72727, 45: 0.72727, 46: 0.72727, 47: 0.72727, 48: 0.63636, 49: 0.63636, 50: 0.63636, 51: 0.18182, 52: 0.18182, 53: 0.18182, 54: 0.18182, 55: 0.18182, 56: 0.18182, 57: 0.18182, 58: 0.09091, 59: 0.09091, 60: 0.09091, 906: 0.18182, 64: 0.09091, 907: 0.18182, 68: 0.09091, 69: 0.09091, 551: 0.36364, 525: 0.09091, 561: 0.18182, 526: 0.09091, 527: 0.09091, 528: 0.09091, 866: 0.09091, 657: 0.09091, 489: 0.09091, 490: 0.09091, 491: 0.09091, 635: 0.09091, 636: 0.09091}"
