0,1,2,3
20,ДОЛЯ ДЕТЕЙ ОХВАЧЕННЫХ ДОПОЛНИТЕЛЬНЫМИ ОБЩЕОБРАЗОВАТЕЛЬНЫМИ ПРОГРАММАМИ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ И МОЛОДЕЖИ В ВОЗРАСТЕ ЛЕТ,"['доля_NOUN', 'ребенок_NOUN', 'охватывать_VERB', 'дополнительный_ADJ', 'общеобразовательный_ADJ', 'программа_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'молодежь_NOUN', 'возраст_NOUN', 'год_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 0.875, 39: 0.875, 40: 0.875, 41: 0.875, 42: 0.875, 43: 0.875, 44: 0.75, 45: 0.75, 46: 0.75, 47: 0.75, 48: 0.75, 49: 0.75, 50: 0.75, 51: 0.75, 52: 0.75, 53: 0.75, 54: 0.625, 55: 0.25, 56: 0.125, 57: 0.125, 906: 0.25, 926: 0.125, 950: 0.125, 908: 0.25, 1719: 0.125, 905: 0.375, 919: 0.25, 904: 0.375, 866: 0.125, 867: 0.125, 922: 0.25, 110: 0.125, 111: 0.125, 112: 0.125, 113: 0.125, 920: 0.25, 1525: 0.125, 502: 0.125, 503: 0.125, 918: 0.25, 1715: 0.125}"
26,ДОЛЯ ОБУЧАЮЩИХСЯ МУНИЦИПАЛЬНЫХ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ЗАКОНЧИВШИХ УЧЕБНЫЙ ГОД НА ХОРОШО И ОТЛИЧНО,"['доля_NOUN', 'обучающийся_NOUN', 'муниципальный_ADJ', 'общеобразовательный_ADJ', 'организация_NOUN', 'заканчивать_VERB', 'учеба_NOUN', 'год_NOUN', 'отлично_ADV']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 0.75, 21: 0.75, 22: 0.75, 23: 0.75, 24: 0.75, 25: 0.75, 26: 0.75, 27: 0.75, 28: 0.75, 29: 0.75, 30: 0.75, 31: 0.75, 32: 0.75, 33: 0.75, 34: 0.75, 35: 0.75, 36: 0.75, 37: 0.75, 38: 0.5, 39: 0.5, 40: 0.5, 41: 0.5, 42: 0.5, 43: 0.5, 44: 0.5, 45: 0.5, 46: 0.5, 47: 0.25, 48: 0.25, 49: 0.25, 50: 0.25, 51: 0.25, 52: 0.25, 53: 0.25, 54: 0.25, 55: 0.25, 56: 0.25, 57: 0.25, 60: 0.25, 61: 0.25, 62: 0.25, 63: 0.25, 64: 0.25, 65: 0.25, 1348: 0.25, 1349: 0.25, 1351: 0.25, 1352: 0.25, 1353: 0.25, 1355: 0.25, 78: 0.25, 80: 0.25, 82: 0.25, 83: 0.25, 1719: 0.25, 1959: 0.25, 1715: 0.25}"
58,УВЕЛИЧЕНИЕ КОЛИЧЕСТВА УЧАЩИХСЯ ДЕТСКОЙ ШКОЛЫ ИСКУССТВ ПО ОТНОШЕНИЮ К ГОДУ,"['увеличение_NOUN', 'количество_NOUN', 'учащийся_NOUN', 'детский_ADJ', 'школа_NOUN', 'искусство_NOUN', 'отношение_NOUN', 'год_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 0.85714, 39: 0.85714, 40: 0.85714, 41: 0.85714, 42: 0.85714, 43: 0.85714, 44: 0.85714, 45: 0.85714, 46: 0.85714, 47: 0.85714, 48: 0.85714, 49: 0.85714, 50: 0.85714, 51: 0.85714, 52: 0.85714, 53: 0.71429, 54: 0.71429, 55: 0.57143, 56: 0.57143, 57: 0.42857, 60: 0.14286, 61: 0.14286, 62: 0.14286, 63: 0.14286, 64: 0.14286, 65: 0.14286, 66: 0.14286, 67: 0.14286, 68: 0.14286, 72: 0.14286, 906: 0.14286, 909: 0.14286, 904: 0.14286, 110: 0.28571, 111: 0.14286, 112: 0.14286, 113: 0.14286, 114: 0.14286, 124: 0.14286, 125: 0.14286, 126: 0.14286, 127: 0.14286, 128: 0.14286, 129: 0.14286, 130: 0.14286, 131: 0.14286, 132: 0.14286, 133: 0.14286, 134: 0.14286, 136: 0.14286, 137: 0.14286, 138: 0.14286, 139: 0.14286, 908: 0.14286, 141: 0.14286, 910: 0.14286, 143: 0.14286, 912: 0.14286, 768: 0.14286, 689: 0.14286, 1715: 0.14286, 1719: 0.14286, 698: 0.14286, 911: 0.14286, 998: 0.14286, 905: 0.14286, 758: 0.14286, 759: 0.14286, 761: 0.14286, 762: 0.14286, 763: 0.14286, 764: 0.14286, 765: 0.14286, 766: 0.14286, 767: 0.14286}"
69,ДОЛЯ МУНИЦИПАЛЬНЫХ БЮДЖЕТНЫХ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ В КОТОРЫХ ИСПОЛЬЗУЮТСЯ ЭЛЕКТРОННЫЕ ДНЕВНИКИ И ЖУРНАЛЫ,"['доля_NOUN', 'муниципальный_ADJ', 'бюджет_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN', 'который_DET', 'пользование_NOUN', 'электронный_ADJ', 'дневник_NOUN', 'журнал_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 0.8, 36: 0.8, 37: 0.8, 38: 0.8, 39: 0.8, 40: 0.8, 41: 0.8, 42: 0.8, 43: 0.8, 44: 0.8, 45: 0.8, 46: 0.8, 47: 0.8, 48: 0.8, 49: 0.8, 50: 0.8, 51: 0.8, 52: 0.8, 53: 0.8, 54: 0.8, 55: 0.8, 56: 0.8, 57: 0.4, 428: 0.2, 539: 0.2, 409: 0.2, 418: 0.2, 802: 0.2, 803: 0.2, 782: 0.2, 538: 0.2, 420: 0.2, 783: 0.2, 1808: 0.2, 784: 0.2, 408: 0.2, 110: 0.4, 111: 0.4, 112: 0.4, 113: 0.2, 114: 0.2, 809: 0.2, 505: 0.2, 426: 0.2}"
72,ДОЛЯ ОБУЧАЮЩИХСЯ МУНИЦИПАЛЬНОГО БЮДЖЕТНОГО СПЕЦИАЛЬНОГО КОРРЕКЦИОННОГО ОБЩЕОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ДЛЯ ОБУЧАЮЩИХСЯ ВОСПИТАННИКОВ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ СПЕЦИАЛЬНАЯ КОРРЕКЦИОННАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА В ОБЩЕЙ ЧИСЛЕННОСТИ ОБУЧАЮЩИХСЯ МУНИЦИПАЛЬНЫХ БЮДЖЕТНЫХ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ПОЛУЧАЮЩИХ УСЛУГУ В СООТВЕТСТВИИ С УЧЕТОМ ИХ ПСИХОФИЗИЧЕСКОГО СОСТОЯНИЯ,"['доля_NOUN', 'обучающийся_NOUN', 'муниципальный_ADJ', 'бюджет_NOUN', 'специальность_NOUN', 'коррекция_NOUN', 'общеобразовательный_ADJ', 'учреждение_NOUN', 'обучающийся_NOUN', 'воспитанник_NOUN', 'ограниченный_ADJ', 'возможность_NOUN', 'здоровье_NOUN', 'специальность_NOUN', 'коррекция_NOUN', 'общеобразовательный_ADJ', 'школа_NOUN', 'общий_ADJ', 'численность_NOUN', 'обучающийся_NOUN', 'муниципальный_ADJ', 'бюджет_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN', 'получение_NOUN', 'услуга_NOUN', 'соответствие_NOUN', 'учет_NOUN', 'психофизический_ADJ', 'состояние_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 0.94118, 35: 0.94118, 36: 0.94118, 37: 0.94118, 38: 0.94118, 39: 0.94118, 40: 0.94118, 41: 0.94118, 42: 0.94118, 43: 0.94118, 44: 0.94118, 45: 0.94118, 46: 0.82353, 47: 0.76471, 48: 0.76471, 49: 0.76471, 50: 0.76471, 51: 0.76471, 52: 0.76471, 53: 0.76471, 54: 0.76471, 55: 0.76471, 56: 0.76471, 57: 0.70588, 60: 0.23529, 61: 0.23529, 62: 0.23529, 63: 0.05882, 64: 0.05882, 65: 0.05882, 66: 0.05882, 67: 0.05882, 68: 0.05882, 72: 0.05882, 103: 0.05882, 104: 0.11765, 110: 0.47059, 111: 0.41176, 112: 0.29412, 113: 0.23529, 114: 0.17647, 1401: 0.11765, 637: 0.11765, 638: 0.05882, 639: 0.05882, 641: 0.05882, 642: 0.05882, 644: 0.05882, 1816: 0.05882, 1347: 0.05882, 1817: 0.05882, 408: 0.11765, 409: 0.11765, 815: 0.05882, 418: 0.11765, 420: 0.11765, 555: 0.05882, 426: 0.11765, 428: 0.11765, 716: 0.05882, 546: 0.05882, 547: 0.05882, 473: 0.05882, 477: 0.05882, 478: 0.05882, 489: 0.05882, 490: 0.05882, 1405: 0.11765, 553: 0.05882, 554: 0.05882}"
75,ВВОД В ДЕЙСТВИЕ ДЕТСКОЙ ШКОЛЫ ИСКУССТВ,"['ввод_NOUN', 'действие_NOUN', 'детский_ADJ', 'школа_NOUN', 'искусство_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 0.8, 42: 0.8, 43: 0.8, 44: 0.8, 45: 0.8, 46: 0.8, 47: 0.6, 48: 0.6, 49: 0.6, 50: 0.6, 51: 0.6, 52: 0.6, 53: 0.4, 54: 0.4, 55: 0.4, 56: 0.4, 57: 0.2, 60: 0.2, 61: 0.2, 62: 0.2, 63: 0.2, 64: 0.2, 65: 0.2, 66: 0.2, 67: 0.2, 68: 0.2, 72: 0.2, 1609: 0.2, 1611: 0.2, 1373: 0.2, 998: 0.2, 768: 0.2, 758: 0.2, 759: 0.2, 761: 0.2, 762: 0.2, 763: 0.2, 764: 0.2, 765: 0.2, 766: 0.2, 767: 0.2}"
81,ДОЛЯ ВЫПУСКНИКОВ КЛАССОВ ПОЛУЧИВШИХ АТТЕСТАТ О СРЕДНЕМ ПОЛНОМ ОБЩЕМ ОБРАЗОВАНИИ В ОБЩЕМ ЧИСЛЕ ВЫПУСКНИКОВ КЛАССОВ БЕЗ УЧЕТА ОБУЧАЮЩИХСЯ ВЕЧЕРНИХ СМЕННЫХ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ШКОЛ,"['доля_NOUN', 'выпускник_NOUN', 'класс_NOUN', 'получение_NOUN', 'аттестат_NOUN', 'среднее_NOUN', 'полный_ADJ', 'общий_ADJ', 'образование_NOUN', 'общий_ADJ', 'число_NOUN', 'выпускник_NOUN', 'класс_NOUN', 'учет_NOUN', 'обучающийся_NOUN', 'вечерний_ADJ', 'сменный_ADJ', 'общеобразовательный_ADJ', 'школа_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 0.92308, 38: 0.92308, 39: 0.92308, 40: 0.92308, 41: 0.92308, 42: 0.92308, 43: 0.92308, 44: 0.92308, 45: 0.92308, 46: 0.84615, 47: 0.84615, 48: 0.84615, 49: 0.69231, 50: 0.69231, 51: 0.61538, 52: 0.53846, 53: 0.53846, 54: 0.53846, 55: 0.53846, 56: 0.53846, 57: 0.46154, 60: 0.23077, 61: 0.23077, 62: 0.23077, 63: 0.23077, 64: 0.07692, 65: 0.07692, 66: 0.07692, 67: 0.07692, 68: 0.07692, 72: 0.07692, 88: 0.15385, 89: 0.15385, 99: 0.15385, 1384: 0.07692, 1385: 0.07692, 1386: 0.07692, 1387: 0.07692, 110: 0.23077, 111: 0.15385, 112: 0.07692, 113: 0.07692, 114: 0.07692, 637: 0.07692, 638: 0.07692, 639: 0.07692, 1155: 0.07692, 683: 0.07692, 798: 0.07692, 1231: 0.15385, 1232: 0.15385, 1747: 0.07692, 1749: 0.07692, 473: 0.07692, 477: 0.07692, 478: 0.07692, 1007: 0.07692, 1011: 0.07692, 1017: 0.07692, 1018: 0.07692, 1022: 0.07692}"
88,ДОЛЯ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ВКЛЮЧЕННЫХ В ЕДИНОЕ ИНФОРМАЦИОННОЕ ОБРАЗОВАТЕЛЬНОЕ ПРОСТРАНСТВО,"['доля_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN', 'включение_NOUN', 'единый_ADJ', 'информация_NOUN', 'образование_NOUN', 'пространство_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 0.75, 44: 0.75, 45: 0.75, 46: 0.75, 47: 0.75, 48: 0.75, 49: 0.75, 50: 0.75, 51: 0.75, 52: 0.5, 53: 0.5, 54: 0.5, 55: 0.5, 56: 0.5, 1549: 0.25, 781: 0.25, 1550: 0.25, 1026: 0.25, 747: 0.25, 748: 0.25, 749: 0.25, 750: 0.25, 751: 0.25}"
96,ДОЛЯ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ В КОТОРЫХ ОБЕСПЕЧЕНЫ ВОЗМОЖНОСТИ ДЛЯ БЕСПРЕПЯТСТВЕННОГО ДОСТУПА ОБУЧАЮЩИХСЯ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ К ОБЪЕКТАМ ИНФРАСТРУКТУРЫ ОБРАЗОВАТЕЛЬНОЙ ОРГАНИЗАЦИИ В ОБЩЕМ КОЛИЧЕСТВЕ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ,"['доля_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN', 'который_DET', 'обеспеченность_NOUN', 'возможность_NOUN', 'беспрепятственный_ADJ', 'доступ_NOUN', 'обучающийся_NOUN', 'ограниченный_ADJ', 'возможность_NOUN', 'здоровье_NOUN', 'объект_NOUN', 'инфраструктура_NOUN', 'образование_NOUN', 'организация_NOUN', 'общий_ADJ', 'количество_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 0.88889, 34: 0.77778, 35: 0.77778, 36: 0.77778, 37: 0.77778, 38: 0.77778, 39: 0.77778, 40: 0.77778, 41: 0.77778, 42: 0.77778, 43: 0.77778, 44: 0.77778, 45: 0.77778, 46: 0.66667, 47: 0.55556, 48: 0.55556, 49: 0.44444, 50: 0.44444, 51: 0.44444, 52: 0.44444, 53: 0.44444, 54: 0.44444, 55: 0.44444, 56: 0.44444, 57: 0.44444, 1418: 0.11111, 555: 0.22222, 523: 0.11111, 1816: 0.11111, 524: 0.11111, 631: 0.11111, 546: 0.22222, 1347: 0.11111, 547: 0.22222, 1817: 0.11111, 1840: 0.11111, 110: 0.44444, 111: 0.44444, 112: 0.44444, 553: 0.22222, 1272: 0.11111, 505: 0.11111, 506: 0.11111, 507: 0.11111, 554: 0.22222}"
111,ДОЛЯ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ В КОТОРЫХ ОБЕСПЕЧЕНА ВОЗМОЖНОСТЬ,"['доля_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN', 'который_DET', 'обеспеченность_NOUN', 'возможность_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 1.0, 45: 1.0, 46: 0.5, 47: 0.5, 48: 0.5, 49: 0.5, 50: 0.5, 51: 0.5, 52: 0.5, 53: 0.5, 54: 0.5, 55: 0.5, 56: 0.5, 57: 0.5, 1418: 0.5, 555: 0.5, 546: 0.5, 547: 0.5, 110: 0.5, 111: 0.5, 112: 0.5, 553: 0.5, 554: 0.5}"
