0,1,2,3
106,ДОЛЯ ДЕТЕЙ В ВОЗРАСТЕ ОТ ГОДА МЕСЯЦЕВ ДО ЛЕТ ПОЛУЧАЮЩИХ ДОШКОЛЬНУЮ ОБРАЗОВАТЕЛЬНУЮ УСЛУГУ И ИЛИ УСЛУГУ ПО ИХ СОДЕРЖАНИЮ В ДОШКОЛЬНЫХ ОРГАНИЗАЦИЯХ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ В ВОЗРАСТЕ ОТ ГОДА МЕСЯЦЕВ ДО ЛЕТ НУЖДАЮЩИХСЯ В ПРЕДОСТАВЛЕНИИ УСЛУГИ,"['доля_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'месяц_NOUN', 'год_NOUN', 'получение_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'услуга_NOUN', 'услуга_NOUN', 'содержание_NOUN', 'дошкольный_ADJ', 'организация_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'месяц_NOUN', 'год_NOUN', 'нужда_NOUN', 'предоставление_NOUN', 'услуга_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 0.88889, 30: 0.88889, 31: 0.88889, 32: 0.88889, 33: 0.88889, 34: 0.88889, 35: 0.88889, 36: 0.88889, 37: 0.88889, 38: 0.88889, 39: 0.55556, 40: 0.55556, 41: 0.55556, 42: 0.5, 43: 0.5, 44: 0.5, 45: 0.5, 46: 0.5, 47: 0.5, 48: 0.44444, 49: 0.44444, 50: 0.44444, 51: 0.44444, 52: 0.44444, 53: 0.44444, 54: 0.44444, 55: 0.44444, 56: 0.22222, 57: 0.16667, 58: 0.16667, 59: 0.11111, 765: 0.05556, 857: 0.11111, 1036: 0.11111, 329: 0.05556, 330: 0.05556, 332: 0.05556, 334: 0.05556, 335: 0.05556, 1037: 0.11111, 855: 0.33333, 212: 0.11111, 569: 0.05556, 216: 0.11111, 217: 0.05556, 858: 0.11111, 219: 0.05556, 220: 0.05556, 861: 0.22222, 350: 0.16667, 300: 0.05556, 239: 0.05556, 856: 0.11111, 243: 0.05556, 298: 0.05556}"
194,ДОЛЯ ЗАМЕНЕННЫХ ОКОННЫХ БЛОКОВ В ОБЩЕМ КОЛИЧЕСТВЕ ОКОННЫХ БЛОКОВ ТРЕБУЮЩИХ ЗАМЕНЫ В МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЯХ КОЧУБЕЕВСКОГО РАЙОНА СТАВРОПОЛЬСКОГО КРАЯ,"['доля_NOUN', 'заменять_VERB', 'оконный_ADJ', 'блок_NOUN', 'общий_ADJ', 'количество_NOUN', 'оконный_ADJ', 'блок_NOUN', 'требовать_VERB', 'замена_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'район_NOUN', 'край_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 0.84615, 24: 0.84615, 25: 0.84615, 26: 0.84615, 27: 0.84615, 28: 0.84615, 29: 0.84615, 30: 0.84615, 31: 0.84615, 32: 0.84615, 33: 0.84615, 34: 0.84615, 35: 0.84615, 36: 0.84615, 37: 0.84615, 38: 0.84615, 39: 0.84615, 40: 0.76923, 41: 0.76923, 42: 0.69231, 43: 0.69231, 44: 0.69231, 45: 0.69231, 46: 0.69231, 47: 0.69231, 48: 0.61538, 49: 0.46154, 50: 0.46154, 51: 0.46154, 52: 0.30769, 53: 0.30769, 54: 0.23077, 55: 0.23077, 56: 0.15385, 57: 0.07692, 58: 0.07692, 1083: 0.15385, 556: 0.07692, 555: 0.07692, 388: 0.07692, 835: 0.07692, 390: 0.07692, 455: 0.15385, 389: 0.07692, 554: 0.15385, 270: 0.07692, 569: 0.07692, 728: 0.07692, 729: 0.07692, 271: 0.07692, 349: 0.07692, 391: 0.07692, 300: 0.07692, 273: 0.07692, 347: 0.07692, 733: 0.07692, 298: 0.07692, 392: 0.07692}"
204,УДЕЛЬНЫЙ ВЕС ЧИСЛА ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ДОШКОЛЬНОГО ОБЩЕГО НАЧАЛЬНОГО ПРОФЕССИОНАЛЬНОГО И СРЕДНЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ ОРГАНЫ КОЛЛЕГИАЛЬНОГО УПРАВЛЕНИЯ С УЧАСТИЕМ ОБЩЕСТВЕННОСТИ РОДИТЕЛИ РАБОТОДАТЕЛИ В ОБЩЕМ ЧИСЛЕ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ДОШКОЛЬНОГО ОБЩЕГО НАЧАЛЬНОГО ПРОФЕССИОНАЛЬНОГО И СРЕДНЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ,"['удельный_ADJ', 'вес_NOUN', 'число_NOUN', 'образование_NOUN', 'учреждение_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'начальный_ADJ', 'профессиональный_ADJ', 'среднее_NOUN', 'профессиональный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'орган_NOUN', 'коллегиальный_ADJ', 'управление_NOUN', 'участие_NOUN', 'общественность_NOUN', 'родитель_NOUN', 'работодатель_NOUN', 'общий_ADJ', 'число_NOUN', 'образование_NOUN', 'учреждение_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'начальный_ADJ', 'профессиональный_ADJ', 'среднее_NOUN', 'профессиональный_ADJ', 'образование_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 0.96, 23: 0.96, 24: 0.96, 25: 0.96, 26: 0.96, 27: 0.96, 28: 0.96, 29: 0.96, 30: 0.96, 31: 0.96, 32: 0.96, 33: 0.96, 34: 0.96, 35: 0.96, 36: 0.96, 37: 0.92, 38: 0.92, 39: 0.84, 40: 0.84, 41: 0.8, 42: 0.6, 43: 0.6, 44: 0.6, 45: 0.56, 46: 0.56, 47: 0.52, 48: 0.4, 49: 0.4, 50: 0.36, 51: 0.36, 52: 0.36, 53: 0.36, 54: 0.24, 55: 0.2, 56: 0.12, 57: 0.12, 58: 0.12, 59: 0.04, 60: 0.04, 61: 0.04, 62: 0.04, 1087: 0.04, 75: 0.04, 76: 0.04, 77: 0.04, 78: 0.04, 79: 0.04, 80: 0.04, 81: 0.04, 83: 0.04, 84: 0.04, 270: 0.08, 569: 0.12, 271: 0.08, 353: 0.08, 875: 0.08, 364: 0.04, 370: 0.08, 371: 0.08, 641: 0.04, 636: 0.04, 381: 0.04, 382: 0.04, 383: 0.04, 640: 0.04, 385: 0.04, 898: 0.04, 899: 0.04, 789: 0.04, 896: 0.04, 723: 0.04, 725: 0.04, 470: 0.04, 472: 0.04, 473: 0.04, 480: 0.04, 769: 0.16, 272: 0.08, 638: 0.04, 639: 0.04, 597: 0.04}"
241,УДЕЛЬНЫЙ ВЕС МУНИЦИПАЛЬНЫХ ОБРАЗОВАНИЙ В КОТОРЫХ ОЦЕНКА ДЕЯТЕЛЬНОСТИ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ИХ РУКОВОДИТЕЛЕЙ И ОСНОВНЫХ КАТЕГОРИЙ РАБОТНИКОВ ОСУЩЕСТВЛЯЕТСЯ НА ОСНОВАНИИ ПОКАЗАТЕЛЕЙ ЭФФЕКТИВНОСТИ ДЕЯТЕЛЬНОСТИ ПОДВЕДОМСТВЕННЫХ МУНИЦИПАЛЬНЫХ ОРГАНИЗАЦИЙ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ НЕ МЕНЕЕ ЧЕМ В ПРОЦЕНТАХ МУНИЦИПАЛЬНЫХ ОБРАЗОВАНИЙ,"['удельный_ADJ', 'вес_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'который_DET', 'оценка_NOUN', 'деятельность_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'руководитель_NOUN', 'основание_NOUN', 'категория_NOUN', 'работник_NOUN', 'осуществляться_VERB', 'основание_NOUN', 'показатель_NOUN', 'эффективность_NOUN', 'деятельность_NOUN', 'подведомственный_ADJ', 'муниципальный_ADJ', 'организация_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'менее_ADV', 'процент_NOUN', 'муниципальный_ADJ', 'образование_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 0.94737, 23: 0.94737, 24: 0.94737, 25: 0.94737, 26: 0.94737, 27: 0.94737, 28: 0.94737, 29: 0.94737, 30: 0.94737, 31: 0.94737, 32: 0.94737, 33: 0.94737, 34: 0.94737, 35: 0.94737, 36: 0.94737, 37: 0.94737, 38: 0.94737, 39: 0.94737, 40: 0.68421, 41: 0.68421, 42: 0.68421, 43: 0.68421, 44: 0.68421, 45: 0.63158, 46: 0.63158, 47: 0.57895, 48: 0.57895, 49: 0.57895, 50: 0.52632, 51: 0.52632, 52: 0.47368, 53: 0.47368, 54: 0.47368, 55: 0.47368, 56: 0.36842, 57: 0.10526, 58: 0.05263, 59: 0.05263, 60: 0.05263, 61: 0.05263, 62: 0.05263, 1087: 0.05263, 343: 0.10526, 835: 0.15789, 836: 0.10526, 838: 0.10526, 311: 0.10526, 76: 0.05263, 77: 0.05263, 78: 0.05263, 79: 0.05263, 80: 0.05263, 312: 0.05263, 341: 0.10526, 86: 0.05263, 87: 0.05263, 88: 0.05263, 90: 0.05263, 314: 0.05263, 657: 0.05263, 316: 0.05263, 299: 0.05263, 278: 0.05263, 280: 0.05263, 658: 0.05263, 281: 0.05263, 442: 0.05263, 444: 0.05263, 313: 0.05263, 75: 0.05263, 293: 0.05263, 294: 0.05263, 495: 0.05263, 298: 0.05263, 597: 0.05263}"
259,ВЫПОЛНЕНИЕ ТРЕБОВАНИЙ К УСТРОЙСТВУ И СОДЕРЖАНИЮ ДОШКОЛЬНЫХ УЧРЕЖДЕНИЙ,"['выполнение_NOUN', 'требование_NOUN', 'устройство_NOUN', 'содержание_NOUN', 'дошкольный_ADJ', 'учреждение_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 0.8, 43: 0.8, 44: 0.8, 45: 0.8, 46: 0.8, 47: 0.8, 48: 0.8, 49: 0.8, 50: 0.8, 51: 0.8, 52: 0.8, 53: 0.8, 54: 0.6, 55: 0.6, 56: 0.6, 57: 0.6, 58: 0.6, 59: 0.6, 60: 0.4, 61: 0.2, 62: 0.2, 75: 0.2, 76: 0.2, 77: 0.2, 142: 0.2, 164: 0.2, 143: 0.2, 221: 0.2, 222: 0.2, 144: 0.2, 145: 0.2, 104: 0.2, 106: 0.2, 231: 0.2, 146: 0.2, 765: 0.2, 370: 0.2, 371: 0.2, 138: 0.2}"
281,ДОЛЯ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ИСПОЛЬЗУЮЩИХ ИНФОРМАЦИОННО КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ В УЧЕБНО ВОСПИТАТЕЛЬНОМ ПРОЦЕССЕ,"['доля_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'пользование_NOUN', 'информация_NOUN', 'коммуникация_NOUN', 'технология_NOUN', 'учеба_NOUN', 'воспитанность_NOUN', 'процесс_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 0.9, 28: 0.9, 29: 0.9, 30: 0.9, 31: 0.9, 32: 0.9, 33: 0.9, 34: 0.9, 35: 0.9, 36: 0.9, 37: 0.9, 38: 0.9, 39: 0.9, 40: 0.8, 41: 0.8, 42: 0.8, 43: 0.8, 44: 0.8, 45: 0.8, 46: 0.8, 47: 0.7, 48: 0.7, 49: 0.6, 50: 0.5, 51: 0.5, 52: 0.5, 53: 0.5, 54: 0.3, 55: 0.3, 56: 0.3, 57: 0.2, 58: 0.2, 59: 0.2, 60: 0.2, 523: 0.1, 524: 0.1, 586: 0.1, 525: 0.1, 531: 0.1, 527: 0.1, 300: 0.1, 512: 0.1, 370: 0.1, 371: 0.1, 532: 0.1, 533: 0.1, 513: 0.1, 138: 0.2, 535: 0.1, 142: 0.2, 143: 0.2, 144: 0.2, 145: 0.2, 146: 0.2, 147: 0.1, 148: 0.1, 154: 0.1, 155: 0.1, 156: 0.1, 414: 0.1, 160: 0.1, 418: 0.1, 1054: 0.1, 470: 0.1, 482: 0.1, 484: 0.1, 485: 0.1, 487: 0.1, 835: 0.1, 298: 0.1}"
296,ВЫПОЛНЕНИЕ ЦЕЛЕВОГО ПОКАЗАТЕЛЯ ПО СРЕДНЕЙ ЗАРАБОТНОЙ ПЛАТЕ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ,"['выполнение_NOUN', 'целевой_ADJ', 'показатель_NOUN', 'среднее_NOUN', 'заработный_ADJ', 'плата_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'образование_NOUN', 'организация_NOUN', 'дошкольный_ADJ', 'образование_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 1.0, 43: 1.0, 44: 1.0, 45: 1.0, 46: 0.75, 47: 0.75, 48: 0.75, 49: 0.625, 50: 0.625, 51: 0.625, 52: 0.625, 53: 0.625, 54: 0.625, 55: 0.625, 56: 0.5, 57: 0.375, 58: 0.25, 59: 0.25, 60: 0.25, 61: 0.25, 62: 0.125, 311: 0.125, 545: 0.125, 75: 0.125, 76: 0.125, 77: 0.125, 312: 0.125, 278: 0.125, 603: 0.25, 604: 0.25, 513: 0.125, 280: 0.125, 353: 0.125, 104: 0.125, 106: 0.125, 620: 0.125, 512: 0.125, 136: 0.125, 281: 0.125, 605: 0.125}"
299,РАЗВИТИЕ СЕТИ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ,"['развитие_NOUN', 'сеть_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 0.75, 41: 0.75, 42: 0.75, 43: 0.75, 44: 0.75, 45: 0.75, 46: 0.75, 47: 0.75, 48: 0.75, 49: 0.75, 50: 0.75, 51: 0.75, 52: 0.75, 53: 0.75, 54: 0.5, 55: 0.5, 56: 0.5, 57: 0.5, 58: 0.25, 59: 0.25, 60: 0.25, 61: 0.25, 62: 0.25, 835: 0.25, 75: 0.25, 76: 0.25, 284: 0.25, 370: 0.25, 371: 0.25, 124: 0.25, 283: 0.25}"
363,ПРОЦЕНТ ПОТРЕБИТЕЛЕЙ УДОВЛЕТВОРЕННЫХ КАЧЕСТВОМ И ДОСТУПНОСТЬЮ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ,"['процент_NOUN', 'потребитель_NOUN', 'удовлетворение_NOUN', 'качество_NOUN', 'доступность_NOUN', 'дошкольный_ADJ', 'образование_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 1.0, 20: 1.0, 21: 1.0, 22: 1.0, 23: 1.0, 24: 1.0, 25: 1.0, 26: 1.0, 27: 1.0, 28: 1.0, 29: 1.0, 30: 1.0, 31: 1.0, 32: 1.0, 33: 1.0, 34: 1.0, 35: 1.0, 36: 1.0, 37: 1.0, 38: 1.0, 39: 1.0, 40: 1.0, 41: 1.0, 42: 0.8, 43: 0.8, 44: 0.8, 45: 0.8, 46: 0.8, 47: 0.8, 48: 0.8, 49: 0.8, 50: 0.8, 51: 0.8, 52: 0.8, 53: 0.6, 54: 0.6, 55: 0.6, 56: 0.4, 57: 0.2, 58: 0.2, 59: 0.2, 319: 0.2, 328: 0.2, 440: 0.2, 235: 0.2, 236: 0.2, 298: 0.2, 299: 0.2, 767: 0.2}"
377,ПОТРЕБНОСТЬ В УВЕЛИЧЕНИИ ЧИСЛА МЕСТ В ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЯХ,"['потребность_NOUN', 'увеличение_NOUN', 'число_NOUN', 'место_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN']","{0: 1.0, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 10: 1.0, 11: 1.0, 12: 1.0, 13: 1.0, 14: 1.0, 15: 1.0, 16: 1.0, 17: 1.0, 18: 1.0, 19: 0.75, 20: 0.75, 21: 0.75, 22: 0.75, 23: 0.75, 24: 0.75, 25: 0.75, 26: 0.75, 27: 0.75, 28: 0.75, 29: 0.75, 30: 0.75, 31: 0.75, 32: 0.75, 33: 0.75, 34: 0.75, 35: 0.75, 36: 0.75, 37: 0.75, 38: 0.75, 39: 0.75, 40: 0.75, 41: 0.75, 42: 0.75, 43: 0.75, 44: 0.75, 45: 0.75, 46: 0.75, 47: 0.75, 48: 0.75, 49: 0.75, 50: 0.75, 51: 0.75, 52: 0.75, 53: 0.75, 54: 0.75, 55: 0.75, 56: 0.5, 57: 0.5, 58: 0.5, 59: 0.25, 60: 0.25, 61: 0.25, 62: 0.25, 329: 0.25, 330: 0.25, 75: 0.25, 76: 0.25, 334: 0.25, 336: 0.25, 270: 0.25, 271: 0.25, 1116: 0.25, 272: 0.25, 107: 0.25, 108: 0.25, 109: 0.25, 110: 0.25, 111: 0.25, 112: 0.25, 113: 0.25, 115: 0.25, 117: 0.25, 332: 0.25}"
