0,1,2,3
4,ОТНОШЕНИЕ СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЫ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ К СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЕ УЧИТЕЛЕЙ В НОВОСИБИРСКОЙ ОБЛАСТИ,"['отношение_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'учитель_NOUN', 'область_NOUN']",37
13,СОЗДАНИЕ УСЛОВИЙ ДЛЯ БЕСПРЕПЯТСТВЕННОГО ДОСТУПА В ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ С ОФЗ ДЕТЕЙ ИНВАЛИДОВ,"['создание_NOUN', 'условие_NOUN', 'беспрепятственный_ADJ', 'доступ_NOUN', 'образование_NOUN', 'учреждение_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'ребенок_NOUN', 'инвалид_NOUN']",-1
42,ДОЛЯ ДЕТЕЙ ОХВАЧЕННЫХ ДОПОЛНИТЕЛЬНЫМИ ОБРАЗОВАТЕЛЬНЫМИ ПРОГРАММАМИ В ОБЩЕЙ,"['доля_NOUN', 'ребенок_NOUN', 'охватывать_VERB', 'дополнительный_ADJ', 'образование_NOUN', 'программа_NOUN', 'общий_ADJ']",48
58,УВЕЛИЧЕНИЕ КОЛИЧЕСТВА УЧАЩИХСЯ ДЕТСКОЙ ШКОЛЫ ИСКУССТВ ПО ОТНОШЕНИЮ К ГОДУ,"['увеличение_NOUN', 'количество_NOUN', 'учащийся_NOUN', 'детский_ADJ', 'школа_NOUN', 'искусство_NOUN', 'отношение_NOUN', 'год_NOUN']",-1
59,ДОЛЯ ДЕТЕЙ ОХВАЧЕННЫХ ОБРАЗОВАТЕЛЬНЫМИ ПРОГРАММАМИ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ И МОЛОДЕЖИ ЛЕТ,"['доля_NOUN', 'ребенок_NOUN', 'охватывать_VERB', 'образование_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'молодежь_NOUN', 'год_NOUN']",43
65,КОЛИЧЕСТВО ПРЕПОДАВАТЕЛЕЙ УЧИТЕЛЕЙ ПЕДАГОГОВ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ КОТОРЫМ ОКАЗАНА ФИНАНСОВАЯ ПОДДЕРЖКА ПО РЕЗУЛЬТАТАМ УЧАСТИЯ УЧЕНИКОВ ВОСПИТАННИКОВ В ОЛИМПИАДАХ НАУЧНО ПРАКТИЧЕСКИХ КОНФЕРЕНЦИЯХ КОНКУРСАХ ФЕСТИВАЛЯХ СМОТРАХ СОРЕВНОВАНИЯХ ТУРНИРАХ И ЧЕМПИОНАТАХ,"['количество_NOUN', 'преподаватель_NOUN', 'учитель_NOUN', 'педагог_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'оказывать_VERB', 'финансовый_ADJ', 'поддержка_NOUN', 'результат_NOUN', 'участие_NOUN', 'ученик_NOUN', 'воспитанник_NOUN', 'олимпиада_NOUN', 'научно_ADV', 'практический_ADJ', 'конференция_NOUN', 'конкурс_NOUN', 'фестиваль_NOUN', 'смотр_NOUN', 'соревнование_NOUN', 'турнир_NOUN', 'чемпионат_NOUN']",-1
66,ДОЛЯ ДЕТЕЙ ОХВАЧЕННЫХ ОБРАЗОВАТЕЛЬНЫМИ ПРОГРАММАМИ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ И МОЛОДЕЖИ ЛЕТ,"['доля_NOUN', 'ребенок_NOUN', 'охватывать_VERB', 'образование_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'молодежь_NOUN', 'год_NOUN']",43
75,ВВОД В ДЕЙСТВИЕ ДЕТСКОЙ ШКОЛЫ ИСКУССТВ,"['ввод_NOUN', 'действие_NOUN', 'детский_ADJ', 'школа_NOUN', 'искусство_NOUN']",-1
94,ДОЛЯ МОЮ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ МАТЕРИАЛЬНО ТЕХНИЧЕСКАЯ БАЗА КОТОРЫХ ОБНОВЛЕНА В ОБЩЕМ КОЛИЧЕСТВЕ ТАКИХ ОРГАНИЗАЦИЙ,"['доля_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'материально_ADV', 'технический_ADJ', 'база_NOUN', 'который_DET', 'обновление_NOUN', 'общий_ADJ', 'количество_NOUN', 'организация_NOUN']",1
114,ОТНОШЕНИЕ СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЫ ПЕДАГОГОВ МУНИЦИПАЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ К СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЕ В ОБЛАСТИ,"['отношение_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'педагог_NOUN', 'муниципальный_ADJ', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'область_NOUN']",33
119,ДОЛЯ ДЕТЕЙ СТАРШЕГО ШКОЛЬНОГО ВОЗРАСТА ПОЛУЧАЮЩИХ УСЛУГИ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ СТАРШЕГО ШКОЛЬНОГО ВОЗРАСТА,"['доля_NOUN', 'ребенок_NOUN', 'старший_ADJ', 'школьный_ADJ', 'возраст_NOUN', 'получение_NOUN', 'услуга_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'старший_ADJ', 'школьный_ADJ', 'возраст_NOUN']",-1
