0,1,2,3,4
5914,ДОЛЯ ОБЪЕДИНЕНИЙ СИСТЕМЫ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОХРАНЕНЫ УСЛОВИЙ ДЛЯ РЕАЛИЗАЦИИ СОВРЕМЕННЫХ ПРОГРАММ ИССЛЕДОВАТЕЛЬСКОЙ НАУЧНО-ТЕХНИЧЕСКОЙ ПРОЕКТНОЙ ДЕЯТЕЛЬНОСТИ ОБУЧАЮЩИХСЯ,"['доля_NOUN', 'объединение_NOUN', 'система_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'сохранять_VERB', 'условие_NOUN', 'реализация_NOUN', 'современный_ADJ', 'программа_NOUN', 'исследователь_NOUN', 'научно-технический_ADJ', 'проект_NOUN', 'деятельность_NOUN', 'обучающийся_NOUN']",0,"['разработка', 'создание', 'реализация', 'развитие', 'проект', 'технический', 'система', 'проектирование', 'научно-технический', 'технология']"
7474,УДЕЛЬНЫЙ ВЕС ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ УСЛОВИЯ ДЛЯ РЕАЛИЗАЦИИ СОВРЕМЕННЫХ ПРОГРАММ ИССЛЕДОВАТЕЛЬСКОЙ НАУЧНО-ТЕХНИЧЕСКОЙ ПРОЕКТНО КОНСТРУКТОРСКОЙ ДЕЯТЕЛЬНОСТИ ОБУЧАЮЩИХСЯ,"['удельный_ADJ', 'вес_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'условие_NOUN', 'реализация_NOUN', 'современный_ADJ', 'программа_NOUN', 'исследователь_NOUN', 'научно-технический_ADJ', 'проект_NOUN', 'конструкторский_ADJ', 'деятельность_NOUN', 'обучающийся_NOUN']",0,"['разработка', 'создание', 'реализация', 'развитие', 'проект', 'технический', 'система', 'проектирование', 'научно-технический', 'технология']"
10779,УДЕЛЬНЫЙ ВЕС ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ УСЛОВИЯ ДЛЯ РЕАЛИЗАЦИИ СОВРЕМЕННЫХ ПРОГРАММ ИССЛЕДОВАТЕЛЬСКОЙ НАУЧНО-ТЕХНИЧЕСКОЙ ПРОЕКТНО КОНСТРУКТОРСКОЙ ДЕЯТЕЛЬНОСТИ ОБУЧАЮЩИХСЯ,"['удельный_ADJ', 'вес_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'условие_NOUN', 'реализация_NOUN', 'современный_ADJ', 'программа_NOUN', 'исследователь_NOUN', 'научно-технический_ADJ', 'проект_NOUN', 'конструкторский_ADJ', 'деятельность_NOUN', 'обучающийся_NOUN']",0,"['разработка', 'создание', 'реализация', 'развитие', 'проект', 'технический', 'система', 'проектирование', 'научно-технический', 'технология']"
11505,УДЕЛЬНЫЙ ВЕС ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ УСЛОВИЯ ДЛЯ РЕАЛИЗАЦИИ СОВРЕМЕННЫХ ПРОГРАММ ИССЛЕДОВАТЕЛЬСКОЙ НАУЧНО-ТЕХНИЧЕСКОЙ ПРОЕКТНО КОНСТРУКТОРСКОЙ ДЕЯТЕЛЬНОСТИ ОБУЧАЮЩИХСЯ,"['удельный_ADJ', 'вес_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'условие_NOUN', 'реализация_NOUN', 'современный_ADJ', 'программа_NOUN', 'исследователь_NOUN', 'научно-технический_ADJ', 'проект_NOUN', 'конструкторский_ADJ', 'деятельность_NOUN', 'обучающийся_NOUN']",0,"['разработка', 'создание', 'реализация', 'развитие', 'проект', 'технический', 'система', 'проектирование', 'научно-технический', 'технология']"
14729,УДЕЛЬНЫЙ ВЕС ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ УСЛОВИЯ ДЛЯ РЕАЛИЗАЦИИ СОВРЕМЕННЫХ ПРОГРАММ ИССЛЕДОВАТЕЛЬСКОЙ НАУЧНО-ТЕХНИЧЕСКОЙ ПРОЕКТНО КОНСТРУКТОРСКОЙ ДЕЯТЕЛЬНОСТИ ОБУЧАЮЩИХСЯ,"['удельный_ADJ', 'вес_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'условие_NOUN', 'реализация_NOUN', 'современный_ADJ', 'программа_NOUN', 'исследователь_NOUN', 'научно-технический_ADJ', 'проект_NOUN', 'конструкторский_ADJ', 'деятельность_NOUN', 'обучающийся_NOUN']",0,"['разработка', 'создание', 'реализация', 'развитие', 'проект', 'технический', 'система', 'проектирование', 'научно-технический', 'технология']"
15614,УДЕЛЬНЫЙ ВЕС ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ УСЛОВИЯ ДЛЯ РЕАЛИЗАЦИИ СОВРЕМЕННЫХ ПРОГРАММ ИССЛЕДОВАТЕЛЬСКОЙ НАУЧНО-ТЕХНИЧЕСКОЙ ПРОЕКТНО КОНСТРУКТОРСКОЙ ДЕЯТЕЛЬНОСТИ ОБУЧАЮЩИХСЯ,"['удельный_ADJ', 'вес_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'условие_NOUN', 'реализация_NOUN', 'современный_ADJ', 'программа_NOUN', 'исследователь_NOUN', 'научно-технический_ADJ', 'проект_NOUN', 'конструкторский_ADJ', 'деятельность_NOUN', 'обучающийся_NOUN']",0,"['разработка', 'создание', 'реализация', 'развитие', 'проект', 'технический', 'система', 'проектирование', 'научно-технический', 'технология']"
20974,УДЕЛЬНЫЙ ВЕС ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ УСЛОВИЯ ДЛЯ РЕАЛИЗАЦИИ СОВРЕМЕННЫХ ПРОГРАММ ИССЛЕДОВАТЕЛЬСКОЙ НАУЧНО-ТЕХНИЧЕСКОЙ ПРОЕКТНО КОНСТРУКТОРСКОЙ ДЕЯТЕЛЬНОСТИ ОБУЧАЮЩИХСЯ,"['удельный_ADJ', 'вес_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'условие_NOUN', 'реализация_NOUN', 'современный_ADJ', 'программа_NOUN', 'исследователь_NOUN', 'научно-технический_ADJ', 'проект_NOUN', 'конструкторский_ADJ', 'деятельность_NOUN', 'обучающийся_NOUN']",0,"['разработка', 'создание', 'реализация', 'развитие', 'проект', 'технический', 'система', 'проектирование', 'научно-технический', 'технология']"
22503,УДЕЛЬНЫЙ ВЕС ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ УСЛОВИЯ ДЛЯ РЕАЛИЗАЦИИ СОВРЕМЕННЫХ ПРОГРАММ ИССЛЕДОВАТЕЛЬСКОЙ НАУЧНО-ТЕХНИЧЕСКОЙ ПРОЕКТНО КОНСТРУКТОРСКОЙ ДЕЯТЕЛЬНОСТИ ОБУЧАЮЩИХСЯ,"['удельный_ADJ', 'вес_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'условие_NOUN', 'реализация_NOUN', 'современный_ADJ', 'программа_NOUN', 'исследователь_NOUN', 'научно-технический_ADJ', 'проект_NOUN', 'конструкторский_ADJ', 'деятельность_NOUN', 'обучающийся_NOUN']",0,"['разработка', 'создание', 'реализация', 'развитие', 'проект', 'технический', 'система', 'проектирование', 'научно-технический', 'технология']"
27307,УДЕЛЬНЫЙ ВЕС ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ УСЛОВИЯ ДЛЯ РЕАЛИЗАЦИИ СОВРЕМЕННЫХ ПРОГРАММ ИССЛЕДОВАТЕЛЬСКОЙ НАУЧНО-ТЕХНИЧЕСКОЙ ПРОЕКТНО КОНСТРУКТОРСКОЙ ДЕЯТЕЛЬНОСТИ ОБУЧАЮЩИХСЯ,"['удельный_ADJ', 'вес_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'условие_NOUN', 'реализация_NOUN', 'современный_ADJ', 'программа_NOUN', 'исследователь_NOUN', 'научно-технический_ADJ', 'проект_NOUN', 'конструкторский_ADJ', 'деятельность_NOUN', 'обучающийся_NOUN']",0,"['разработка', 'создание', 'реализация', 'развитие', 'проект', 'технический', 'система', 'проектирование', 'научно-технический', 'технология']"
28161,УДЕЛЬНЫЙ ВЕС ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ УСЛОВИЯ ДЛЯ РЕАЛИЗАЦИИ СОВРЕМЕННЫХ ПРОГРАММ ИССЛЕДОВАТЕЛЬСКОЙ НАУЧНО-ТЕХНИЧЕСКОЙ ПРОЕКТНО КОНСТРУКТОРСКОЙ ДЕЯТЕЛЬНОСТИ ОБУЧАЮЩИХСЯ,"['удельный_ADJ', 'вес_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'условие_NOUN', 'реализация_NOUN', 'современный_ADJ', 'программа_NOUN', 'исследователь_NOUN', 'научно-технический_ADJ', 'проект_NOUN', 'конструкторский_ADJ', 'деятельность_NOUN', 'обучающийся_NOUN']",0,"['разработка', 'создание', 'реализация', 'развитие', 'проект', 'технический', 'система', 'проектирование', 'научно-технический', 'технология']"
