0,1,2,3,4
7853,УДЕЛЬНЫЙ ВЕС ДЕТЕЙ И МОЛОДЕЖИ УЧАСТНИКОВ КРУЖКОВ ЭЛЕКТИВНЫХ КУРСОВ ДУХОВНО НРАВСТВЕННОЙ НАПРАВЛЕННОСТИ,"['удельный_ADJ', 'вес_NOUN', 'ребенок_NOUN', 'молодежь_NOUN', 'участник_NOUN', 'кружок_NOUN', 'элективный_ADJ', 'курс_NOUN', 'духовно_ADV', 'нравственность_NOUN', 'направленность_NOUN']",0,"['учащийся', 'духовно', 'воспитание', 'элективный', 'курс', 'молодежь', 'направленность', 'нравственный', 'духовно::нравственный', 'обучающийся']"
14948,КОЛИЧЕСТВО ДЕТЕЙ И ПОДРОСТКОВ УЧАСТНИКОВ КРУЖКОВ ЭЛЕКТИВНЫХ КУРСОВ ДУХОВНО НРАВСТВЕННОЙ НАПРАВЛЕННОСТИ,"['количество_NOUN', 'ребенок_NOUN', 'подросток_NOUN', 'участник_NOUN', 'кружок_NOUN', 'элективный_ADJ', 'курс_NOUN', 'духовно_ADV', 'нравственность_NOUN', 'направленность_NOUN']",0,"['учащийся', 'духовно', 'воспитание', 'элективный', 'курс', 'молодежь', 'направленность', 'нравственный', 'духовно::нравственный', 'обучающийся']"
23342,КОЛИЧЕСТВО ДЕТЕЙ И ПОДРОСТКОВ УЧАСТНИКОВ КРУЖКОВ ЭЛЕКТИВНЫХ КУРСОВ ДУХОВНО НРАВСТВЕННОЙ НАПРАВЛЕННОСТИ,"['количество_NOUN', 'ребенок_NOUN', 'подросток_NOUN', 'участник_NOUN', 'кружок_NOUN', 'элективный_ADJ', 'курс_NOUN', 'духовно_ADV', 'нравственность_NOUN', 'направленность_NOUN']",0,"['учащийся', 'духовно', 'воспитание', 'элективный', 'курс', 'молодежь', 'направленность', 'нравственный', 'духовно::нравственный', 'обучающийся']"
26336,УДЕЛЬНЫЙ ВЕС ДЕТЕЙ И МОЛОДЕЖИ УЧАСТНИКОВ КРУЖКОВ ЭЛЕКТИВНЫХ КУРСОВ ДУХОВНО НРАВСТВЕННОЙ НАПРАВЛЕННОСТИ,"['удельный_ADJ', 'вес_NOUN', 'ребенок_NOUN', 'молодежь_NOUN', 'участник_NOUN', 'кружок_NOUN', 'элективный_ADJ', 'курс_NOUN', 'духовно_ADV', 'нравственность_NOUN', 'направленность_NOUN']",0,"['учащийся', 'духовно', 'воспитание', 'элективный', 'курс', 'молодежь', 'направленность', 'нравственный', 'духовно::нравственный', 'обучающийся']"
3056,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN']",1,"['соответствующий', 'соответствие', 'организация', 'учет', 'учреждение', 'образование', 'указанный', 'обязательный', 'государственный', 'обучающийся']"
12316,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN']",1,"['соответствующий', 'соответствие', 'организация', 'учет', 'учреждение', 'образование', 'указанный', 'обязательный', 'государственный', 'обучающийся']"
30781,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ ОТ ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN']",1,"['соответствующий', 'соответствие', 'организация', 'учет', 'учреждение', 'образование', 'указанный', 'обязательный', 'государственный', 'обучающийся']"
30948,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN']",1,"['соответствующий', 'соответствие', 'организация', 'учет', 'учреждение', 'образование', 'указанный', 'обязательный', 'государственный', 'обучающийся']"
202,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ КОТОРЫМ ПРИ ПРОХОЖДЕНИИ АТТЕСТАЦИИ ПРИСВОЕНА ПЕРВАЯ ИЛИ ВЫСШАЯ КАТЕГОРИЯ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'который_DET', 'прохождение_NOUN', 'аттестация_NOUN', 'присваивать_VERB', 'первый_ADJ', 'высокий_ADJ', 'категория_NOUN']",2,"['аттестация', 'профессиональный', 'соответствующий', 'подготовка', 'высокий', 'обучающийся', 'технический', 'категория', 'обучение', 'прохождение']"
2886,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ПРОГРАММ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ КОТОРЫМ ПРИ ПРОХОЖДЕНИИ АТТЕСТАЦИИ ПРИСВОЕНА ПЕРВАЯ ИЛИ ВЫСШАЯ КАТЕГОРИЯ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'прохождение_NOUN', 'аттестация_NOUN', 'присваивать_VERB', 'первый_ADJ', 'высокий_ADJ', 'категория_NOUN']",2,"['аттестация', 'профессиональный', 'соответствующий', 'подготовка', 'высокий', 'обучающийся', 'технический', 'категория', 'обучение', 'прохождение']"
