0,1,2,3
20,ДОЛЯ ДЕТЕЙ ОХВАЧЕННЫХ ДОПОЛНИТЕЛЬНЫМИ ОБЩЕОБРАЗОВАТЕЛЬНЫМИ ПРОГРАММАМИ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ И МОЛОДЕЖИ В ВОЗРАСТЕ ЛЕТ,"['доля_NOUN', 'ребенок_NOUN', 'охватывать_VERB', 'дополнительный_ADJ', 'общеобразовательный_ADJ', 'программа_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'молодежь_NOUN', 'возраст_NOUN', 'год_NOUN']",101
26,ДОЛЯ ОБУЧАЮЩИХСЯ МУНИЦИПАЛЬНЫХ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ЗАКОНЧИВШИХ УЧЕБНЫЙ ГОД НА ХОРОШО И ОТЛИЧНО,"['доля_NOUN', 'обучающийся_NOUN', 'муниципальный_ADJ', 'общеобразовательный_ADJ', 'организация_NOUN', 'заканчивать_VERB', 'учеба_NOUN', 'год_NOUN', 'отлично_ADV']",-1
58,УВЕЛИЧЕНИЕ КОЛИЧЕСТВА УЧАЩИХСЯ ДЕТСКОЙ ШКОЛЫ ИСКУССТВ ПО ОТНОШЕНИЮ К ГОДУ,"['увеличение_NOUN', 'количество_NOUN', 'учащийся_NOUN', 'детский_ADJ', 'школа_NOUN', 'искусство_NOUN', 'отношение_NOUN', 'год_NOUN']",-1
69,ДОЛЯ МУНИЦИПАЛЬНЫХ БЮДЖЕТНЫХ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ В КОТОРЫХ ИСПОЛЬЗУЮТСЯ ЭЛЕКТРОННЫЕ ДНЕВНИКИ И ЖУРНАЛЫ,"['доля_NOUN', 'муниципальный_ADJ', 'бюджет_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN', 'который_DET', 'пользование_NOUN', 'электронный_ADJ', 'дневник_NOUN', 'журнал_NOUN']",9
72,ДОЛЯ ОБУЧАЮЩИХСЯ МУНИЦИПАЛЬНОГО БЮДЖЕТНОГО СПЕЦИАЛЬНОГО КОРРЕКЦИОННОГО ОБЩЕОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ДЛЯ ОБУЧАЮЩИХСЯ ВОСПИТАННИКОВ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ СПЕЦИАЛЬНАЯ КОРРЕКЦИОННАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА В ОБЩЕЙ ЧИСЛЕННОСТИ ОБУЧАЮЩИХСЯ МУНИЦИПАЛЬНЫХ БЮДЖЕТНЫХ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ПОЛУЧАЮЩИХ УСЛУГУ В СООТВЕТСТВИИ С УЧЕТОМ ИХ ПСИХОФИЗИЧЕСКОГО СОСТОЯНИЯ,"['доля_NOUN', 'обучающийся_NOUN', 'муниципальный_ADJ', 'бюджет_NOUN', 'специальность_NOUN', 'коррекция_NOUN', 'общеобразовательный_ADJ', 'учреждение_NOUN', 'обучающийся_NOUN', 'воспитанник_NOUN', 'ограниченный_ADJ', 'возможность_NOUN', 'здоровье_NOUN', 'специальность_NOUN', 'коррекция_NOUN', 'общеобразовательный_ADJ', 'школа_NOUN', 'общий_ADJ', 'численность_NOUN', 'обучающийся_NOUN', 'муниципальный_ADJ', 'бюджет_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN', 'получение_NOUN', 'услуга_NOUN', 'соответствие_NOUN', 'учет_NOUN', 'психофизический_ADJ', 'состояние_NOUN']",-1
75,ВВОД В ДЕЙСТВИЕ ДЕТСКОЙ ШКОЛЫ ИСКУССТВ,"['ввод_NOUN', 'действие_NOUN', 'детский_ADJ', 'школа_NOUN', 'искусство_NOUN']",-1
81,ДОЛЯ ВЫПУСКНИКОВ КЛАССОВ ПОЛУЧИВШИХ АТТЕСТАТ О СРЕДНЕМ ПОЛНОМ ОБЩЕМ ОБРАЗОВАНИИ В ОБЩЕМ ЧИСЛЕ ВЫПУСКНИКОВ КЛАССОВ БЕЗ УЧЕТА ОБУЧАЮЩИХСЯ ВЕЧЕРНИХ СМЕННЫХ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ШКОЛ,"['доля_NOUN', 'выпускник_NOUN', 'класс_NOUN', 'получение_NOUN', 'аттестат_NOUN', 'среднее_NOUN', 'полный_ADJ', 'общий_ADJ', 'образование_NOUN', 'общий_ADJ', 'число_NOUN', 'выпускник_NOUN', 'класс_NOUN', 'учет_NOUN', 'обучающийся_NOUN', 'вечерний_ADJ', 'сменный_ADJ', 'общеобразовательный_ADJ', 'школа_NOUN']",37
88,ДОЛЯ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ВКЛЮЧЕННЫХ В ЕДИНОЕ ИНФОРМАЦИОННОЕ ОБРАЗОВАТЕЛЬНОЕ ПРОСТРАНСТВО,"['доля_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN', 'включение_NOUN', 'единый_ADJ', 'информация_NOUN', 'образование_NOUN', 'пространство_NOUN']",64
96,ДОЛЯ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ В КОТОРЫХ ОБЕСПЕЧЕНЫ ВОЗМОЖНОСТИ ДЛЯ БЕСПРЕПЯТСТВЕННОГО ДОСТУПА ОБУЧАЮЩИХСЯ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ К ОБЪЕКТАМ ИНФРАСТРУКТУРЫ ОБРАЗОВАТЕЛЬНОЙ ОРГАНИЗАЦИИ В ОБЩЕМ КОЛИЧЕСТВЕ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ,"['доля_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN', 'который_DET', 'обеспеченность_NOUN', 'возможность_NOUN', 'беспрепятственный_ADJ', 'доступ_NOUN', 'обучающийся_NOUN', 'ограниченный_ADJ', 'возможность_NOUN', 'здоровье_NOUN', 'объект_NOUN', 'инфраструктура_NOUN', 'образование_NOUN', 'организация_NOUN', 'общий_ADJ', 'количество_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN']",80
111,ДОЛЯ ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ В КОТОРЫХ ОБЕСПЕЧЕНА ВОЗМОЖНОСТЬ,"['доля_NOUN', 'общеобразовательный_ADJ', 'организация_NOUN', 'который_DET', 'обеспеченность_NOUN', 'возможность_NOUN']",-1
