0,1,2,3
2,ОХВАТ ДЕТЕЙ ПРОГРАММАМИ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ,"['охват_NOUN', 'ребенок_NOUN', 'программа_NOUN', 'дошкольный_ADJ', 'образование_NOUN']",57
29,ДОЛЯ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ ОХВАЧЕННЫХ ДОШКОЛЬНЫМ ОБРАЗОВАНИЕМ,"['доля_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'охватывать_VERB', 'дошкольный_ADJ', 'образование_NOUN']",61
33,ДОСТУПНОСТЬ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ ОТНОШЕНИЕ ЧИСЛЕННОСТИ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ ПОЛУЧИВШИХ ДОШКОЛЬНОЕ ОБРАЗОВАНИЕ В ТЕКУЩЕМ ГОДУ К СУММЕ ЧИСЛЕННОСТИ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ ПОЛУЧАЮЩИХ ДОШКОЛЬНОЕ ОБРАЗОВАНИЕ В ТЕКУЩЕМ ГОДУ И ЧИСЛЕННОСТИ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ НАХОДЯЩИХСЯ В ОЧЕРЕДИ НА ПОЛУЧЕНИЕ В ТЕКУЩЕМ ГОДУ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ,"['доступность_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'отношение_NOUN', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'получение_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'текущий_ADJ', 'год_NOUN', 'сумма_NOUN', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'получение_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'текущий_ADJ', 'год_NOUN', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'находиться_VERB', 'очередь_NOUN', 'получение_NOUN', 'текущий_ADJ', 'год_NOUN', 'дошкольный_ADJ', 'образование_NOUN']",48
40,УДЕЛЬНЫЙ ВЕС ВОСПИТАННИКОВ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ СООТВЕТСТВУЮЩИМ ФЕДЕРАЛЬНЫМ ГОСУДАРСТВЕННЫМ ОБРАЗОВАТЕЛЬНЫМ СТАНДАРТАМ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ В ОБЩЕЙ ЧИСЛЕННОСТИ ВОСПИТАННИКОВ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ,"['удельный_ADJ', 'вес_NOUN', 'воспитанник_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'обученность_NOUN', 'программа_NOUN', 'соответствие_NOUN', 'федеральный_ADJ', 'государство_NOUN', 'образование_NOUN', 'стандарт_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'воспитанник_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN']",45
50,ДОСТУПНОСТЬ ПРЕДШКОЛЬНОГО ОБРАЗОВАНИЯ ОТНОШЕНИЕ ЧИСЛЕННОСТИ ДЕТЕЙ ЛЕТ КОТОРЫМ ПРЕДОСТАВЛЕНА ВОЗМОЖНОСТЬ ПОЛУЧАТЬ УСЛУГИ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ К ЧИСЛЕННОСТИ ДЕТЕЙ В ВОЗРАСТЕ ЛЕТ СКОРРЕКТИРОВАННОЙ НА ЧИСЛЕННОСТЬ ДЕТЕЙ В ВОЗРАСТЕ ЛЕТ ОБУЧАЮЩИХСЯ В ШКОЛЕ ;,"['доступность_NOUN', 'предшкольный_ADJ', 'образование_NOUN', 'отношение_NOUN', 'численность_NOUN', 'ребенок_NOUN', 'год_NOUN', 'который_DET', 'предоставление_NOUN', 'возможность_NOUN', 'получение_NOUN', 'услуга_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'скорректировать_VERB', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'обученность_NOUN', 'школа_NOUN']",28
55,ДОЛЯ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ ПОЛУЧАЮЩИХ УСЛУГИ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ В ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЯХ,"['доля_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'получение_NOUN', 'услуга_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'образование_NOUN', 'организация_NOUN']",-1
74,ДОСТУПНОСТЬ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ ОТНОШЕНИЕ ЧИСЛЕННОСТИ ДЕТЕЙ ЛЕТ КОТОРЫМ ПРЕДОСТАВЛЕНА ВОЗМОЖНОСТЬ ПОЛУЧАТЬ УСЛУГИ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ К ЧИСЛЕННОСТИ ДЕТЕЙ В ВОЗРАСТЕ ЛЕТ СКОРРЕКТИРОВАННОЙ НА ЧИСЛЕННОСТЬ ДЕТЕЙ В ВОЗРАСТЕ ЛЕТ ОБУЧАЮЩИХСЯ В ШКОЛЕ,"['доступность_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'отношение_NOUN', 'численность_NOUN', 'ребенок_NOUN', 'год_NOUN', 'который_DET', 'предоставление_NOUN', 'возможность_NOUN', 'получение_NOUN', 'услуга_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'скорректировать_VERB', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'обученность_NOUN', 'школа_NOUN']",59
82,ДОЛЯ НАСЕЛЕНИЯ В ВОЗРАСТЕ ОТ ДО ЛЕТ ОХВАЧЕННОГО ДОШКОЛЬНЫМ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ НАСЕЛЕНИЯ В ВОЗРАСТЕ ОТ ДО ЛЕТ,"['доля_NOUN', 'население_NOUN', 'возраст_NOUN', 'год_NOUN', 'охватывать_VERB', 'дошкольный_ADJ', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'население_NOUN', 'возраст_NOUN', 'год_NOUN']",39
91,ДОЛЯ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ ОХВАЧЕННЫХ ДОШКОЛЬНЫМ ОБРАЗОВАНИЕМ,"['доля_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'охватывать_VERB', 'дошкольный_ADJ', 'образование_NOUN']",61
103,ДОСТУПНОСТЬ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ ДЛЯ ДЕТЕЙ В ВОЗРАСТЕ ОТ ТРЁХ ДО СЕМИ ЛЕТ,"['доступность_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'семь_NUM', 'год_NOUN']",10
106,ДОЛЯ ДЕТЕЙ В ВОЗРАСТЕ ОТ ГОДА МЕСЯЦЕВ ДО ЛЕТ ПОЛУЧАЮЩИХ ДОШКОЛЬНУЮ ОБРАЗОВАТЕЛЬНУЮ УСЛУГУ И ИЛИ УСЛУГУ ПО ИХ СОДЕРЖАНИЮ В ДОШКОЛЬНЫХ ОРГАНИЗАЦИЯХ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ В ВОЗРАСТЕ ОТ ГОДА МЕСЯЦЕВ ДО ЛЕТ НУЖДАЮЩИХСЯ В ПРЕДОСТАВЛЕНИИ УСЛУГИ,"['доля_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'месяц_NOUN', 'год_NOUN', 'получение_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'услуга_NOUN', 'услуга_NOUN', 'содержание_NOUN', 'дошкольный_ADJ', 'организация_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'месяц_NOUN', 'год_NOUN', 'нужда_NOUN', 'предоставление_NOUN', 'услуга_NOUN']",-1
132,ДОЛЯ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ ПОЛУЧАЮЩИХ ДОШКОЛЬНЫЕ ОБРАЗОВАТЕЛЬНЫЕ УСЛУГИ,"['доля_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'получение_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'услуга_NOUN']",68
165,ДОЛЯ ДЕТЕЙ ВОСПИТЫВАЮЩИХСЯ В ОТВЕЧАЮЩИХ СОВРЕМЕННЫМ ТРЕБОВАНИЯМ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЯХ В ОБЩЕМ ЧИСЛЕ ДОШКОЛЬНИКОВ КРАЯ,"['доля_NOUN', 'ребенок_NOUN', 'воспитываться_VERB', 'отвечать_VERB', 'современный_ADJ', 'требование_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'общий_ADJ', 'число_NOUN', 'дошкольник_NOUN', 'край_NOUN']",3
167,ДОСТУПНОСТЬ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ ОТНОШЕНИЕ ЧИСЛЕННОСТИ ДЕТЕЙ ОТ ДО ЛЕТ КОТОРЫМ ПРЕДОСТАВЛЕНА ВОЗМОЖНОСТЬ ПОЛУЧАТЬ УСЛУГИ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ К ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ СКОРРЕКТИРОВАННОЙ НА ЧИСЛЕННОСТЬ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ ОБУЧАЮЩИХСЯ В ШКОЛЕ,"['доступность_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'отношение_NOUN', 'численность_NOUN', 'ребенок_NOUN', 'год_NOUN', 'который_DET', 'предоставление_NOUN', 'возможность_NOUN', 'получение_NOUN', 'услуга_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'скорректировать_VERB', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'обученность_NOUN', 'школа_NOUN']",60
170,ОХВАТ ДЕТЕЙ ДОШКОЛЬНЫМ ОБРАЗОВАНИЕМ ОТ ГОДА ДО ЛЕТ,"['охват_NOUN', 'ребенок_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'год_NOUN', 'год_NOUN']",66
180,УДЕЛЬНЫЙ ВЕС ДЕТЕЙ СТАРШЕГО ДОШКОЛЬНОГО ВОЗРАСТА ОХВАЧЕННЫХ ВСЕМИ ФОРМАМИ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ,"['удельный_ADJ', 'вес_NOUN', 'ребенок_NOUN', 'старший_ADJ', 'дошкольный_ADJ', 'возраст_NOUN', 'охватывать_VERB', 'весь_DET', 'форма_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN']",20
194,ДОЛЯ ЗАМЕНЕННЫХ ОКОННЫХ БЛОКОВ В ОБЩЕМ КОЛИЧЕСТВЕ ОКОННЫХ БЛОКОВ ТРЕБУЮЩИХ ЗАМЕНЫ В МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЯХ КОЧУБЕЕВСКОГО РАЙОНА СТАВРОПОЛЬСКОГО КРАЯ,"['доля_NOUN', 'заменять_VERB', 'оконный_ADJ', 'блок_NOUN', 'общий_ADJ', 'количество_NOUN', 'оконный_ADJ', 'блок_NOUN', 'требовать_VERB', 'замена_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'район_NOUN', 'край_NOUN']",-1
204,УДЕЛЬНЫЙ ВЕС ЧИСЛА ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ДОШКОЛЬНОГО ОБЩЕГО НАЧАЛЬНОГО ПРОФЕССИОНАЛЬНОГО И СРЕДНЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ ОРГАНЫ КОЛЛЕГИАЛЬНОГО УПРАВЛЕНИЯ С УЧАСТИЕМ ОБЩЕСТВЕННОСТИ РОДИТЕЛИ РАБОТОДАТЕЛИ В ОБЩЕМ ЧИСЛЕ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ДОШКОЛЬНОГО ОБЩЕГО НАЧАЛЬНОГО ПРОФЕССИОНАЛЬНОГО И СРЕДНЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ,"['удельный_ADJ', 'вес_NOUN', 'число_NOUN', 'образование_NOUN', 'учреждение_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'начальный_ADJ', 'профессиональный_ADJ', 'среднее_NOUN', 'профессиональный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'орган_NOUN', 'коллегиальный_ADJ', 'управление_NOUN', 'участие_NOUN', 'общественность_NOUN', 'родитель_NOUN', 'работодатель_NOUN', 'общий_ADJ', 'число_NOUN', 'образование_NOUN', 'учреждение_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'начальный_ADJ', 'профессиональный_ADJ', 'среднее_NOUN', 'профессиональный_ADJ', 'образование_NOUN']",-1
210,ОТНОШЕНИЕ СРЕДНЕЙ ЗАРАБОТНОЙ ПЛАТЫ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ИЗ ВСЕХ ИСТОЧНИКОВ К СРЕДНЕЙ ЗАРАБОТНОЙ ПЛАТЕ В СФЕРЕ ОБЩЕГО ОБРАЗОВАНИЯ,"['отношение_NOUN', 'среднее_NOUN', 'заработный_ADJ', 'плата_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'весь_DET', 'источник_NOUN', 'среднее_NOUN', 'заработный_ADJ', 'плата_NOUN', 'сфера_NOUN', 'общий_ADJ', 'образование_NOUN']",-1
