0,1,2,3,4
1243,ДОЛЯ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ОХВАЧЕННЫХ ПРОЦЕССАМИ ПРОФЕССИОНАЛЬНОЙ ПЕРЕПОДГОТОВКИ И ПОВЫШЕНИЯ КВАЛИФИКАЦИИ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ НА БАЗЕ ПЛОЩАДОК СОЗДАННЫХ ДЛЯ РАСПРОСТРАНЕНИЯ СОВРЕМЕННЫХ МОДЕЛЕЙ ДОСТУПНОГО И КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ А ТАКЖЕ МОДЕЛЕЙ РЕГИОНАЛЬНЫХ И МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОБЕСПЕЧИВАЮЩИХ ГОСУДАРСТВЕННО ОБЩЕСТВЕННЫЙ ХАРАКТЕР УПРАВЛЕНИЯ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ,"['доля_NOUN', 'образование_NOUN', 'организация_NOUN', 'охватывать_VERB', 'процесс_NOUN', 'профессиональный_ADJ', 'переподготовка_NOUN', 'повышение_NOUN', 'квалификация_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'база_NOUN', 'площадка_NOUN', 'создавать_VERB', 'распространение_NOUN', 'современный_ADJ', 'модель_NOUN', 'доступность_NOUN', 'качество_NOUN', 'образование_NOUN', 'также_ADV', 'модель_NOUN', 'региональный_ADJ', 'муниципальный_ADJ', 'образование_NOUN', 'система_NOUN', 'обеспеченность_NOUN', 'государство_NOUN', 'общество_NOUN', 'характер_NOUN', 'управление_NOUN', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'образование_NOUN', 'организация_NOUN']",0,"['система', 'структура', 'развитие', 'организация', 'управление', 'управленческий', 'специализированный', 'технология', 'базовый', 'также']"
2611,ДОЛЯ СПЕЦИАЛИСТОВ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ ОБЕСПЕЧИВАЮЩИХ РАСПРОСТРАНЕНИЕ СОВРЕМЕННЫХ МОДЕЛЕЙ ДОСТУПНОГО И КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ А ТАКЖЕ МОДЕЛЕЙ РЕГИОНАЛЬНЫХ И МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОБЕСПЕЧИВАЮЩИХ ГОСУДАРСТВЕННО ОБЩЕСТВЕННЫЙ ХАРАКТЕР УПРАВЛЕНИЯ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ СПЕЦИАЛИСТОВ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ,"['доля_NOUN', 'специалист_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'обеспеченность_NOUN', 'распространение_NOUN', 'современный_ADJ', 'модель_NOUN', 'доступность_NOUN', 'качество_NOUN', 'образование_NOUN', 'также_ADV', 'модель_NOUN', 'региональный_ADJ', 'муниципальный_ADJ', 'образование_NOUN', 'система_NOUN', 'обеспеченность_NOUN', 'государство_NOUN', 'общество_NOUN', 'характер_NOUN', 'управление_NOUN', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'специалист_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN']",0,"['система', 'структура', 'развитие', 'организация', 'управление', 'управленческий', 'специализированный', 'технология', 'базовый', 'также']"
2718,УВЕЛИЧЕНИЕ ДОЛИ СПЕЦИАЛИСТОВ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ ОБЕСПЕЧИВАЮЩИХ РАСПРОСТРАНЕНИЕ СОВРЕМЕННЫХ МОДЕЛЕЙ ДОСТУПНОГО И КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ В ОБЩЕЙ ЧИСЛЕННОСТИ СПЕЦИАЛИСТОВ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУС ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ ДО,"['увеличение_NOUN', 'доля_NOUN', 'специалист_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'обеспеченность_NOUN', 'распространение_NOUN', 'современный_ADJ', 'модель_NOUN', 'доступность_NOUN', 'качество_NOUN', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'специалист_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN']",0,"['система', 'структура', 'развитие', 'организация', 'управление', 'управленческий', 'специализированный', 'технология', 'базовый', 'также']"
4782,ДОЛЯ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОКТЯБРЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ОХВАЧЕННЫХ ПРОЦЕССАМИ ПРОФЕССИОНАЛЬНОЙ ПЕРЕПОДГОТОВКИ И ПОВЫШЕНИЯ КВАЛИФИКАЦИИ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ НА БАЗЕ ПЛОЩАДОК СОЗДАННЫХ ДЛЯ РАСПРОСТРАНЕНИЯ СОВРЕМЕННЫХ МОДЕЛЕЙ ДОСТУПНОГО И КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ А ТАКЖЕ МОДЕЛЕЙ РЕГИОНАЛЬНЫХ И МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОБЕСПЕЧИВАЮЩИХ ГОСУДАРСТВЕННО ОБЩЕСТВЕННЫЙ ХАРАКТЕР УПРАВЛЕНИЯ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОКТЯБРЬСКОГО МУНИЦИПАЛЬНОГО РАЙОНА,"['доля_NOUN', 'образование_NOUN', 'система_NOUN', 'муниципальный_ADJ', 'район_NOUN', 'охватывать_VERB', 'процесс_NOUN', 'профессиональный_ADJ', 'переподготовка_NOUN', 'повышение_NOUN', 'квалификация_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'база_NOUN', 'площадка_NOUN', 'создавать_VERB', 'распространение_NOUN', 'современный_ADJ', 'модель_NOUN', 'доступность_NOUN', 'качество_NOUN', 'образование_NOUN', 'также_ADV', 'модель_NOUN', 'региональный_ADJ', 'муниципальный_ADJ', 'образование_NOUN', 'система_NOUN', 'обеспеченность_NOUN', 'государство_NOUN', 'общество_NOUN', 'характер_NOUN', 'управление_NOUN', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'образование_NOUN', 'система_NOUN', 'муниципальный_ADJ', 'район_NOUN']",0,"['система', 'структура', 'развитие', 'организация', 'управление', 'управленческий', 'специализированный', 'технология', 'базовый', 'также']"
7658,ДОЛЯ СПЕЦИАЛИСТОВ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ ОБЕСПЕЧИВАЮЩИХ РАСПРОСТРАНЕНИЕ СОВРЕМЕННЫХ МОДЕЛЕЙ ДОСТУПНОГО И КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ А ТАКЖЕ МОДЕЛЕЙ РЕГИОНАЛЬНЫХ И МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОБЕСПЕЧИВАЮЩИХ ГОСУДАРСТВЕННО ОБЩЕСТВЕННЫЙ ХАРАКТЕР УПРАВЛЕНИЯ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ СПЕЦИАЛИСТОВ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ,"['доля_NOUN', 'специалист_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'обеспеченность_NOUN', 'распространение_NOUN', 'современный_ADJ', 'модель_NOUN', 'доступность_NOUN', 'качество_NOUN', 'образование_NOUN', 'также_ADV', 'модель_NOUN', 'региональный_ADJ', 'муниципальный_ADJ', 'образование_NOUN', 'система_NOUN', 'обеспеченность_NOUN', 'государство_NOUN', 'общество_NOUN', 'характер_NOUN', 'управление_NOUN', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'специалист_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN']",0,"['система', 'структура', 'развитие', 'организация', 'управление', 'управленческий', 'специализированный', 'технология', 'базовый', 'также']"
8519,ДОЛЯ СПЕЦИАЛИСТОВ ПЕДАГОГИЧЕСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ ОБЕСПЕЧИВАЮЩИХ РАСПРОСТРАНЕНИЕ СОВРЕМЕННЫХ МОДЕЛЕЙ ДОСТУПНОГО И КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ А ТАКЖЕ МОДЕЛЕЙ РЕГИОНАЛЬНЫХ И МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОБЕСПЕЧИВАЮЩИХ ГОСУДАРСТВЕННО ОБЩЕСТВЕННЫЙ ХАРАКТЕР УПРАВЛЕНИЯ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ СПЕЦИАЛИСТОВ ПЕДАГОГИЧЕСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ В ПРОЦЕНТАХ,"['доля_NOUN', 'специалист_NOUN', 'педагогический_ADJ', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'обеспеченность_NOUN', 'распространение_NOUN', 'современный_ADJ', 'модель_NOUN', 'доступность_NOUN', 'качество_NOUN', 'образование_NOUN', 'также_ADV', 'модель_NOUN', 'региональный_ADJ', 'муниципальный_ADJ', 'образование_NOUN', 'система_NOUN', 'обеспеченность_NOUN', 'государство_NOUN', 'общество_NOUN', 'характер_NOUN', 'управление_NOUN', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'специалист_NOUN', 'педагогический_ADJ', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'процент_NOUN']",0,"['система', 'структура', 'развитие', 'организация', 'управление', 'управленческий', 'специализированный', 'технология', 'базовый', 'также']"
10433,ДОЛЯ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОХВАЧЕННЫХ ПРОЦЕССАМИ ПРОФЕССИОНАЛЬНОЙ ПЕРЕПОДГОТОВКИ И ПОВЫШЕНИЯ КВАЛИФИКАЦИИ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ НА БАЗЕ ПЛОЩАДОК СОЗДАННЫХ ДЛЯ РАСПРОСТРАНЕНИЯ СОВРЕМЕННЫХ МОДЕЛЕЙ ДОСТУПНОГО И КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ А ТАКЖЕ МОДЕЛЕЙ РЕГИОНАЛЬНЫХ И МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОБЕСПЕЧИВАЮЩИХ ГОСУДАРСТВЕННО ОБЩЕСТВЕННЫЙ ХАРАКТЕР УПРАВЛЕНИЯ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ,"['доля_NOUN', 'образование_NOUN', 'система_NOUN', 'охватывать_VERB', 'процесс_NOUN', 'профессиональный_ADJ', 'переподготовка_NOUN', 'повышение_NOUN', 'квалификация_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'база_NOUN', 'площадка_NOUN', 'создавать_VERB', 'распространение_NOUN', 'современный_ADJ', 'модель_NOUN', 'доступность_NOUN', 'качество_NOUN', 'образование_NOUN', 'также_ADV', 'модель_NOUN', 'региональный_ADJ', 'муниципальный_ADJ', 'образование_NOUN', 'система_NOUN', 'обеспеченность_NOUN', 'государство_NOUN', 'общество_NOUN', 'характер_NOUN', 'управление_NOUN', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'образование_NOUN', 'система_NOUN']",0,"['система', 'структура', 'развитие', 'организация', 'управление', 'управленческий', 'специализированный', 'технология', 'базовый', 'также']"
11224,ДОЛЯ СПЕЦИАЛИСТОВ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ ОБЕСПЕЧИВАЮЩИХ РАСПРОСТРАНЕНИЕ СОВРЕМЕННЫХ МОДЕЛЕЙ ДОСТУПНОГО И КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ А ТАКЖЕ МОДЕЛЕЙ РЕГИОНАЛЬНЫХ И МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОБЕСПЕЧИВАЮЩИХ ГОСУДАРСТВЕННО ОБЩЕСТВЕННЫЙ ХАРАКТЕР УПРАВЛЕНИЯ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ СПЕЦИАЛИСТОВ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ,"['доля_NOUN', 'специалист_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'обеспеченность_NOUN', 'распространение_NOUN', 'современный_ADJ', 'модель_NOUN', 'доступность_NOUN', 'качество_NOUN', 'образование_NOUN', 'также_ADV', 'модель_NOUN', 'региональный_ADJ', 'муниципальный_ADJ', 'образование_NOUN', 'система_NOUN', 'обеспеченность_NOUN', 'государство_NOUN', 'общество_NOUN', 'характер_NOUN', 'управление_NOUN', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'специалист_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN']",0,"['система', 'структура', 'развитие', 'организация', 'управление', 'управленческий', 'специализированный', 'технология', 'базовый', 'также']"
12997,ДОЛЯ СПЕЦИАЛИСТОВ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ ОБЕСПЕЧИВАЮЩИХ РАСПРОСТРАНЕНИЕ СОВРЕМЕННЫХ МОДЕЛЕЙ ДОСТУПНОГО И КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ А ТАКЖЕ МОДЕЛЕЙ РЕГИОНАЛЬНЫХ И МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОБЕСПЕЧИВАЮЩИХ ГОСУДАРСТВЕННО ОБЩЕСТВЕННЫЙ ХАРАКТЕР УПРАВЛЕНИЯ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ СПЕЦИАЛИСТОВ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ,"['доля_NOUN', 'специалист_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'обеспеченность_NOUN', 'распространение_NOUN', 'современный_ADJ', 'модель_NOUN', 'доступность_NOUN', 'качество_NOUN', 'образование_NOUN', 'также_ADV', 'модель_NOUN', 'региональный_ADJ', 'муниципальный_ADJ', 'образование_NOUN', 'система_NOUN', 'обеспеченность_NOUN', 'государство_NOUN', 'общество_NOUN', 'характер_NOUN', 'управление_NOUN', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'специалист_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN']",0,"['система', 'структура', 'развитие', 'организация', 'управление', 'управленческий', 'специализированный', 'технология', 'базовый', 'также']"
13053,ДОЛЯ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОХВАЧЕННЫХ ПРОЦЕССАМИ ПРОФЕССИОНАЛЬНОЙ ПЕРЕПОДГОТОВКИ И ПОВЫШЕНИЯ КВАЛИФИКАЦИИ ПРЕПОДАВАТЕЛЬСКОГО И УПРАВЛЕНЧЕСКОГО КОРПУСА СИСТЕМЫ ДОШКОЛЬНОГО И ОБЩЕГО ОБРАЗОВАНИЯ НА БАЗЕ ПЛОЩАДОК СОЗДАННЫХ ДЛЯ РАСПРОСТРАНЕНИЯ СОВРЕМЕННЫХ МОДЕЛЕЙ ДОСТУПНОГО И КАЧЕСТВЕННОГО ОБРАЗОВАНИЯ А ТАКЖЕ МОДЕЛЕЙ РЕГИОНАЛЬНЫХ И МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ ОБЕСПЕЧИВАЮЩИХ ГОСУДАРСТВЕННО ОБЩЕСТВЕННЫЙ ХАРАКТЕР УПРАВЛЕНИЯ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ ОБРАЗОВАТЕЛЬНЫХ СИСТЕМ,"['доля_NOUN', 'образование_NOUN', 'система_NOUN', 'охватывать_VERB', 'процесс_NOUN', 'профессиональный_ADJ', 'переподготовка_NOUN', 'повышение_NOUN', 'квалификация_NOUN', 'преподаватель_NOUN', 'управленческий_ADJ', 'корпус_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'общий_ADJ', 'образование_NOUN', 'база_NOUN', 'площадка_NOUN', 'создавать_VERB', 'распространение_NOUN', 'современный_ADJ', 'модель_NOUN', 'доступность_NOUN', 'качество_NOUN', 'образование_NOUN', 'также_ADV', 'модель_NOUN', 'региональный_ADJ', 'муниципальный_ADJ', 'образование_NOUN', 'система_NOUN', 'обеспеченность_NOUN', 'государство_NOUN', 'общество_NOUN', 'характер_NOUN', 'управление_NOUN', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'образование_NOUN', 'система_NOUN']",0,"['система', 'структура', 'развитие', 'организация', 'управление', 'управленческий', 'специализированный', 'технология', 'базовый', 'также']"
