0,1,2,3,4
12249,УДЕЛЬНЫЙ ВЕС МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДЛЯ КОТОРЫХ РАСЧЕТ СУБСИДИИ НА ВЫПОЛНЕНИЕ МУНИЦИПАЛЬНОГО ЗАДАНИЯ НА ОКАЗАНИЕ МУНИЦИПАЛЬНЫХ УСЛУГ ОСУЩЕСТВЛЯЕТСЯ НА ОСНОВЕ ЕДИНЫХ ГРУППОВЫХ ЗНАЧЕНИЙ НОРМАТИВНЫХ ЗАТРАТ С ИСПОЛЬЗОВАНИЕМ КОРРЕКТИРУЮЩИХ ПОКАЗАТЕЛЕЙ,"['удельный_ADJ', 'вес_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'который_DET', 'расчет_NOUN', 'субсидия_NOUN', 'выполнение_NOUN', 'муниципальный_ADJ', 'задание_NOUN', 'оказание_NOUN', 'муниципальный_ADJ', 'услуга_NOUN', 'осуществляться_VERB', 'основа_NOUN', 'единый_ADJ', 'группа_NOUN', 'значение_NOUN', 'норматив_NOUN', 'затрата_NOUN', 'использование_NOUN', 'корректировать_VERB', 'показатель_NOUN']",0,"['учет', 'система', 'реализация', 'соответствующий', 'затрата', 'обеспечение', 'использование', 'целевой', 'базовый', 'расчетный']"
20133,УДЕЛЬНЫЙ ВЕС МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДЛЯ КОТОРЫХ РАСЧЕТ СУБСИДИИ НА ВЫПОЛНЕНИЕ МУНИЦИПАЛЬНОГО ЗАДАНИЯ НА ОКАЗАНИЕ МУНИЦИПАЛЬНЫХ УСЛУГ ОСУЩЕСТВЛЯЕТСЯ НА ОСНОВЕ ЕДИНЫХ ГРУППОВЫХ ЗНАЧЕНИЙ НОРМАТИВНЫХ ЗАТРАТ С ИСПОЛЬЗОВАНИЕМ КОРРЕКТИРУЮЩИХ ПОКАЗАТЕЛЕ,"['удельный_ADJ', 'вес_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'который_DET', 'расчет_NOUN', 'субсидия_NOUN', 'выполнение_NOUN', 'муниципальный_ADJ', 'задание_NOUN', 'оказание_NOUN', 'муниципальный_ADJ', 'услуга_NOUN', 'осуществляться_VERB', 'основа_NOUN', 'единый_ADJ', 'группа_NOUN', 'значение_NOUN', 'норматив_NOUN', 'затрата_NOUN', 'использование_NOUN', 'корректировать_VERB', 'показатель_NOUN']",0,"['учет', 'система', 'реализация', 'соответствующий', 'затрата', 'обеспечение', 'использование', 'целевой', 'базовый', 'расчетный']"
22637,УДЕЛЬНЫЙ ВЕС МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ДЛЯ КОТОРЫХ РАСЧЕТ СУБСИДИИ НА ВЫПОЛНЕНИЕ МУНИЦИПАЛЬНОГО ЗАДАНИЯ НА ОКАЗАНИЕ МУНИЦИПАЛЬНЫХ УСЛУГ ОСУЩЕСТВЛЯЕТСЯ НА ОСНОВЕ ЕДИНЫХ ГРУППОВЫХ ЗНАЧЕНИЙ НОРМАТИВНЫХ ЗАТРАТ С ИСПОЛЬЗОВАНИЕМ КОРРЕКТИРУЮЩИХ ПОКАЗАТЕЛЕЙ,"['удельный_ADJ', 'вес_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'который_DET', 'расчет_NOUN', 'субсидия_NOUN', 'выполнение_NOUN', 'муниципальный_ADJ', 'задание_NOUN', 'оказание_NOUN', 'муниципальный_ADJ', 'услуга_NOUN', 'осуществляться_VERB', 'основа_NOUN', 'единый_ADJ', 'группа_NOUN', 'значение_NOUN', 'норматив_NOUN', 'затрата_NOUN', 'использование_NOUN', 'корректировать_VERB', 'показатель_NOUN']",0,"['учет', 'система', 'реализация', 'соответствующий', 'затрата', 'обеспечение', 'использование', 'целевой', 'базовый', 'расчетный']"
27577,УДЕЛЬНЫЙ ВЕС МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДЛЯ КОТОРЫХ РАСЧЕТ СУБСИДИИ НА ВЫПОЛНЕНИЕ МУНИЦИПАЛЬНОГО ЗАДАНИЯ НА ОКАЗАНИЕ МУНИЦИПАЛЬНЫХ УСЛУГ ОСУЩЕСТВЛЯЕТСЯ НА ОСНОВЕ ЕДИНЫХ ГРУППОВЫХ ЗНАЧЕНИЙ НОРМАТИВНЫХ ЗАТРАТ С ИСПОЛЬЗОВАНИЕМ КОРРЕКТИРУЮЩИХ ПОКАЗАТЕЛЕЙ,"['удельный_ADJ', 'вес_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'который_DET', 'расчет_NOUN', 'субсидия_NOUN', 'выполнение_NOUN', 'муниципальный_ADJ', 'задание_NOUN', 'оказание_NOUN', 'муниципальный_ADJ', 'услуга_NOUN', 'осуществляться_VERB', 'основа_NOUN', 'единый_ADJ', 'группа_NOUN', 'значение_NOUN', 'норматив_NOUN', 'затрата_NOUN', 'использование_NOUN', 'корректировать_VERB', 'показатель_NOUN']",0,"['учет', 'система', 'реализация', 'соответствующий', 'затрата', 'обеспечение', 'использование', 'целевой', 'базовый', 'расчетный']"
29078,УДЕЛЬНЫЙ ВЕС МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДЛЯ КОТОРЫХ РАСЧЕТ СУБСИДИИ НА ВЫПОЛНЕНИЕ МУНИЦИПАЛЬНОГО ЗАДАНИЯ НА ОКАЗАНИЕ МУНИЦИПАЛЬНЫХ УСЛУГ ОСУЩЕСТВЛЯЕТСЯ НА ОСНОВЕ ЕДИНЫХ ГРУППОВЫХ ЗНАЧЕНИЙ НОРМАТИВНЫХ ЗАТРАТ С ИСПОЛЬЗОВАНИЕМ КОРРЕКТИРУЮЩИХ ПОКАЗАТЕЛЕЙ,"['удельный_ADJ', 'вес_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'который_DET', 'расчет_NOUN', 'субсидия_NOUN', 'выполнение_NOUN', 'муниципальный_ADJ', 'задание_NOUN', 'оказание_NOUN', 'муниципальный_ADJ', 'услуга_NOUN', 'осуществляться_VERB', 'основа_NOUN', 'единый_ADJ', 'группа_NOUN', 'значение_NOUN', 'норматив_NOUN', 'затрата_NOUN', 'использование_NOUN', 'корректировать_VERB', 'показатель_NOUN']",0,"['учет', 'система', 'реализация', 'соответствующий', 'затрата', 'обеспечение', 'использование', 'целевой', 'базовый', 'расчетный']"
2338,ДОЛЯ УЧАЩИХСЯ ЗАНИМАЮЩИХСЯ ФИЗИЧЕСКОЙ КУЛЬТУРОЙ И СПОРТОМ ВО ВНЕУРОЧНОЕ ВРЕМЯ ЗА ИСКЛЮЧЕНИЕМ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ,"['доля_NOUN', 'учащийся_NOUN', 'заниматься_VERB', 'физический_ADJ', 'культура_NOUN', 'спорт_NOUN', 'внеурочный_ADJ', 'время_NOUN', 'исключение_NOUN', 'дошкольный_ADJ', 'образование_NOUN']",1,"['учащийся', 'уровень', 'физический', 'индивидуальный', 'обучающийся', 'общий', 'определенный', 'различный', 'обязательный', 'целое']"
5759,УВЕЛИЧЕНИЕ ДОЛИ УЧАЩИХСЯ ЗАНИМАЮЩИХСЯ ФИЗИЧЕСКОЙ КУЛЬТУРОЙ И СПОРТОМ ВО ВНЕУРОЧНОЕ ВРЕМЯ ПО КАЖДОМУ УРОВНЮ ОБЩЕГО ОБРАЗОВАНИЯ ЗА ИСКЛЮЧЕНИЕМ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ ПРОЦЕНТОВ В ТОМ ЧИСЛЕ ПО УРОВНЮ НАЧАЛЬНОЕ ОБЩЕЕ ОБРАЗОВАНИЕ ПРОЦЕНТОВ,"['увеличение_NOUN', 'доля_NOUN', 'учащийся_NOUN', 'заниматься_VERB', 'физический_ADJ', 'культура_NOUN', 'спорт_NOUN', 'внеурочный_ADJ', 'время_NOUN', 'каждый_DET', 'уровень_NOUN', 'общий_ADJ', 'образование_NOUN', 'исключение_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'процент_NOUN', 'число_NOUN', 'уровень_NOUN', 'начальный_ADJ', 'общий_ADJ', 'образование_NOUN', 'процент_NOUN']",1,"['учащийся', 'уровень', 'физический', 'индивидуальный', 'обучающийся', 'общий', 'определенный', 'различный', 'обязательный', 'целое']"
9674,УВЕЛИЧЕНИЕ ДОЛИ УЧАЩИХСЯ ЗАНИМАЮЩИХСЯ ФИЗИЧЕСКОЙ КУЛЬТУРОЙ И СПОРТОМ ВО ВНЕУРОЧНОЕ ВРЕМЯ ПО КАЖДОМУ УРОВНЮ ОБЩЕГО ОБРАЗОВАНИЯ ЗА ИСКЛЮЧЕНИЕМ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ ПРОЦЕНТОВ,"['увеличение_NOUN', 'доля_NOUN', 'учащийся_NOUN', 'заниматься_VERB', 'физический_ADJ', 'культура_NOUN', 'спорт_NOUN', 'внеурочный_ADJ', 'время_NOUN', 'каждый_DET', 'уровень_NOUN', 'общий_ADJ', 'образование_NOUN', 'исключение_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'процент_NOUN']",1,"['учащийся', 'уровень', 'физический', 'индивидуальный', 'обучающийся', 'общий', 'определенный', 'различный', 'обязательный', 'целое']"
11904,ДОЛЯ ЗАНИМАЮЩИХСЯ ФИЗИЧЕСКОЙ КУЛЬТУРОЙ И СПОРТОМ ВО ВНЕ УРОЧНОЕ ВРЕМЯ ПО КАЖДОМУ УРОВНЮ ОБЩЕГО ОБРАЗОВАНИЯ ЗА ИСКЛЮЧЕНИЕМ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ,"['доля_NOUN', 'заниматься_VERB', 'физический_ADJ', 'культура_NOUN', 'спорт_NOUN', 'вне_ADP', 'урочный_ADJ', 'время_NOUN', 'каждый_DET', 'уровень_NOUN', 'общий_ADJ', 'образование_NOUN', 'исключение_NOUN', 'дошкольный_ADJ', 'образование_NOUN']",1,"['учащийся', 'уровень', 'физический', 'индивидуальный', 'обучающийся', 'общий', 'определенный', 'различный', 'обязательный', 'целое']"
29142,УВЕЛИЧЕНИЕ ДОЛИ УЧАЩИХСЯ ЗАНИМАЮЩИХСЯ ФИЗИЧЕСКОЙ КУЛЬТУРОЙ И СПОРТОМ ВО ВНЕУРОЧНОЕ ВРЕМЯ ПО КАЖДОМУ УРОВНЮ ОБЩЕГО ОБРАЗОВАНИЯ ЗА ИСКЛЮЧЕНИЕМ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ ПРОЦЕНТОВ В ТОМ ЧИСЛЕ ПО УРОВНЮ ОСНОВНОЕ ОБЩЕЕ ОБРАЗОВАНИЕ ПРОЦЕНТОВ,"['увеличение_NOUN', 'доля_NOUN', 'учащийся_NOUN', 'заниматься_VERB', 'физический_ADJ', 'культура_NOUN', 'спорт_NOUN', 'внеурочный_ADJ', 'время_NOUN', 'каждый_DET', 'уровень_NOUN', 'общий_ADJ', 'образование_NOUN', 'исключение_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'процент_NOUN', 'число_NOUN', 'уровень_NOUN', 'основание_NOUN', 'общий_ADJ', 'образование_NOUN', 'процент_NOUN']",1,"['учащийся', 'уровень', 'физический', 'индивидуальный', 'обучающийся', 'общий', 'определенный', 'различный', 'обязательный', 'целое']"
